       Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
GPMin:    0 18:29:27       71.374912*      31.8927
GPMin:    1 18:29:43       47.325474*      20.2803
GPMin:    2 18:30:00       33.524571*      14.9801
GPMin:    3 18:30:15       23.451134*      11.7855
GPMin:    4 18:30:29       15.990039*       9.1490
GPMin:    5 18:30:44       10.470964*       7.0273
GPMin:    6 18:30:57        6.434005*       5.4639
GPMin:    7 18:31:09        3.552169*       4.3562
GPMin:    8 18:31:21        1.378502*       3.5206
GPMin:    9 18:31:33       -0.248930*       2.8911
GPMin:   10 18:31:45       -1.472738*       2.4035
GPMin:   11 18:31:57       -2.411727*       2.0104
GPMin:   12 18:32:08       -3.125178*       1.6914
GPMin:   13 18:32:18       -3.670670*       1.4297
GPMin:   14 18:32:29       -4.079886*       1.2154
GPMin:   15 18:32:40       -4.379423*       1.0428
GPMin:   16 18:32:50       -4.622350*       0.8885
GPMin:   17 18:33:00       -4.832043*       0.7410
GPMin:   18 18:33:09       -4.996105*       0.6097
GPMin:   19 18:33:18       -5.118093*       0.4997
GPMin:   20 18:33:28       -5.215180*       0.3997
GPMin:   21 18:33:37       -5.288737*       0.3111
GPMin:   22 18:33:46       -5.340583*       0.2380
GPMin:   23 18:33:56       -5.377792*       0.1835
GPMin:   24 18:34:05       -5.403460*       0.1392
GPMin:   25 18:34:14       -5.420082*       0.1039
GPMin:   26 18:34:24       -5.429934*       0.0922
GPMin:   27 18:34:33       -5.435216*       0.0879
GPMin:   28 18:34:42       -5.437776*       0.0881
GPMin:   29 18:34:51       -5.438794*       0.0903
GPMin:   30 18:34:59       -5.439144*       0.0920
GPMin:   31 18:35:06       -5.439759*       0.0920
GPMin:   32 18:35:15       -5.448417*       0.0824
GPMin:   33 18:35:22       -5.450095*       0.0801
GPMin:   34 18:35:30       -5.452572*       0.0765
GPMin:   35 18:35:38       -5.454658*       0.0740
GPMin:   36 18:35:46       -5.457114*       0.0719
GPMin:   37 18:35:56       -5.461771*       0.0738
GPMin:   38 18:36:05       -5.467402*       0.1191
GPMin:   39 18:36:12       -5.468056*       0.1235
GPMin:   40 18:36:19       -5.469506*       0.1265
GPMin:   41 18:36:29       -5.480035*       0.1070
GPMin:   42 18:36:37       -5.484796*       0.0956
GPMin:   43 18:36:45       -5.488769*       0.0917
GPMin:   44 18:36:53       -5.494029*       0.0945
GPMin:   45 18:37:03       -5.502760*       0.1007
GPMin:   46 18:37:12       -5.511534*       0.1072
GPMin:   47 18:37:20       -5.517282*       0.1114
GPMin:   48 18:37:28       -5.523508*       0.1149
GPMin:   49 18:37:38       -5.531720*       0.1185
GPMin:   50 18:37:47       -5.542932*       0.1187
GPMin:   51 18:37:56       -5.550612*       0.1156
GPMin:   52 18:38:04       -5.557210*       0.1108
GPMin:   53 18:38:12       -5.563598*       0.1034
GPMin:   54 18:38:20       -5.570618*       0.0919
GPMin:   55 18:38:30       -5.577384*       0.0756
GPMin:   56 18:38:38       -5.581955*       0.0627
GPMin:   57 18:38:46       -5.584746*       0.0631
GPMin:   58 18:38:55       -5.586506*       0.0633
GPMin:   59 18:39:02       -5.587667*       0.0634
GPMin:   60 18:39:09       -5.588455*       0.0633
GPMin:   61 18:39:16       -5.589089*       0.0654
GPMin:   62 18:39:23       -5.590489*       0.0763
GPMin:   63 18:39:33       -5.598094*       0.0854
GPMin:   64 18:39:40       -5.598905*       0.0841
GPMin:   65 18:39:47       -5.600522*       0.0807
GPMin:   66 18:39:55       -5.602725*       0.0765
GPMin:   67 18:40:04       -5.604924*       0.0731
GPMin:   68 18:40:12       -5.608035*       0.0708
GPMin:   69 18:40:21       -5.612398*       0.0825
GPMin:   70 18:40:29       -5.613620*       0.0846
GPMin:   71 18:40:37       -5.615466*       0.0866
GPMin:   72 18:40:47       -5.620580*       0.0874
GPMin:   73 18:40:56       -5.635487*       0.0887
GPMin:   74 18:41:03       -5.637522*       0.0881
GPMin:   75 18:41:12       -5.642211*       0.0856
GPMin:   76 18:41:20       -5.647956*       0.0825
GPMin:   77 18:41:30       -5.653978*       0.0793
GPMin:   78 18:41:39       -5.658858*       0.0767
GPMin:   79 18:41:48       -5.662729*       0.0774
GPMin:   80 18:41:58       -5.666664*       0.0797
GPMin:   81 18:42:07       -5.671633*       0.0862
GPMin:   82 18:42:17       -5.677970*       0.0924
GPMin:   83 18:42:27       -5.683366*       0.0955
GPMin:   84 18:42:36       -5.690547*       0.0958
GPMin:   85 18:42:46       -5.699208*       0.0948
GPMin:   86 18:42:56       -5.707413*       0.0906
GPMin:   87 18:43:06       -5.713833*       0.0858
GPMin:   88 18:43:15       -5.719406*       0.0809
GPMin:   89 18:43:25       -5.724584*       0.0760
GPMin:   90 18:43:35       -5.729557*       0.0776
GPMin:   91 18:43:45       -5.734381*       0.0894
GPMin:   92 18:43:53       -5.737789*       0.0974
GPMin:   93 18:44:02       -5.740216*       0.1011
GPMin:   94 18:44:11       -5.743325*       0.1018
GPMin:   95 18:44:21       -5.753919*       0.0994
GPMin:   96 18:44:28       -5.755922*       0.0999
GPMin:   97 18:44:38       -5.760762*       0.0989
GPMin:   98 18:44:48       -5.767369*       0.0927
GPMin:   99 18:44:58       -5.773045*       0.0821
GPMin:  100 18:45:06       -5.775842*       0.0743
