      Step     Time          Energy         fmax
BFGS:    0 10:37:45       18.084567       35.9437
BFGS:    1 10:37:45       13.350224       27.2454
BFGS:    2 10:37:45       10.720159       25.0445
BFGS:    3 10:37:45        7.943337       20.1319
BFGS:    4 10:37:45        5.457723       16.9650
BFGS:    5 10:37:45        3.546381       14.2980
BFGS:    6 10:37:45        1.915879       11.4769
BFGS:    7 10:37:45        0.534594        9.9039
BFGS:    8 10:37:45       -0.603869        7.9061
BFGS:    9 10:37:45       -1.535256        6.5134
BFGS:   10 10:37:45       -2.298002        5.2628
BFGS:   11 10:37:45       -2.900732        4.2357
BFGS:   12 10:37:45       -3.379910        3.3762
BFGS:   13 10:37:45       -3.760972        2.6500
BFGS:   14 10:37:45       -4.062266        2.0332
BFGS:   15 10:37:45       -4.297754        1.5082
BFGS:   16 10:37:45       -4.478589        1.0615
BFGS:   17 10:37:45       -4.614094        0.6824
BFGS:   18 10:37:45       -4.712399        0.5829
BFGS:   19 10:37:45       -4.780938        0.6052
BFGS:   20 10:37:45       -4.826156        0.6787
BFGS:   21 10:37:45       -4.856307        0.7493
BFGS:   22 10:37:45       -4.879600        0.7985
BFGS:   23 10:37:45       -4.902816        0.8217
BFGS:   24 10:37:45       -4.928743        0.8191
BFGS:   25 10:37:45       -4.958201        0.7882
BFGS:   26 10:37:45       -4.992137        0.7197
BFGS:   27 10:37:45       -5.033088        0.7139
BFGS:   28 10:37:45       -5.086734        0.7034
BFGS:   29 10:37:45       -5.132903        0.6374
BFGS:   30 10:37:45       -5.157422        0.5157
BFGS:   31 10:37:45       -5.172047        0.4615
BFGS:   32 10:37:45       -5.224112        0.4709
BFGS:   33 10:37:45       -5.271736        0.6119
BFGS:   34 10:37:45       -5.308842        0.7308
BFGS:   35 10:37:45       -5.343342        0.8166
BFGS:   36 10:37:45       -5.377356        0.8806
BFGS:   37 10:37:45       -5.411883        0.9293
BFGS:   38 10:37:45       -5.447358        0.9648
BFGS:   39 10:37:45       -5.483871        1.0415
BFGS:   40 10:37:45       -5.521310        1.1455
BFGS:   41 10:37:45       -5.559449        1.2409
BFGS:   42 10:37:45       -5.598013        1.3241
BFGS:   43 10:37:45       -5.636735        1.3908
BFGS:   44 10:37:45       -5.675496        1.4351
BFGS:   45 10:37:45       -5.714634        1.4490
BFGS:   46 10:37:45       -5.755625        1.4209
BFGS:   47 10:37:45       -5.802379        1.3326
BFGS:   48 10:37:45       -5.859154        1.1665
BFGS:   49 10:37:45       -5.924026        0.9338
BFGS:   50 10:37:45       -5.988115        0.8006
BFGS:   51 10:37:45       -6.044029        0.6980
BFGS:   52 10:37:45       -6.083342        0.4809
BFGS:   53 10:37:45       -6.098262        0.3668
BFGS:   54 10:37:45       -6.107551        0.3006
BFGS:   55 10:37:45       -6.117925        0.2785
BFGS:   56 10:37:45       -6.134363        0.4018
BFGS:   57 10:37:45       -6.156027        0.5334
BFGS:   58 10:37:45       -6.177246        0.6154
BFGS:   59 10:37:45       -6.199450        0.6798
BFGS:   60 10:37:45       -6.222394        0.7354
BFGS:   61 10:37:45       -6.266463        0.6922
BFGS:   62 10:37:45       -6.312030        0.5379
BFGS:   63 10:37:45       -6.357062        0.5370
BFGS:   64 10:37:45       -6.404465        0.5271
BFGS:   65 10:37:45       -6.452001        0.5140
BFGS:   66 10:37:45       -6.498430        0.4957
BFGS:   67 10:37:45       -6.540921        0.5003
BFGS:   68 10:37:45       -6.577547        0.5750
BFGS:   69 10:37:45       -6.607232        0.7295
BFGS:   70 10:37:45       -6.632634        0.8656
BFGS:   71 10:37:45       -6.663285        0.8365
BFGS:   72 10:37:45       -6.703676        0.5695
BFGS:   73 10:37:45       -6.731767        0.3590
BFGS:   74 10:37:45       -6.744300        0.4012
BFGS:   75 10:37:45       -6.755926        0.3166
BFGS:   76 10:37:45       -6.766339        0.3802
BFGS:   77 10:37:45       -6.775264        0.3888
BFGS:   78 10:37:45       -6.783385        0.3137
BFGS:   79 10:37:45       -6.789110        0.2949
BFGS:   80 10:37:45       -6.798185        0.3079
BFGS:   81 10:37:45       -6.809149        0.2845
BFGS:   82 10:37:45       -6.820621        0.2776
BFGS:   83 10:37:45       -6.827408        0.2480
BFGS:   84 10:37:45       -6.833737        0.2324
BFGS:   85 10:37:45       -6.841703        0.2282
BFGS:   86 10:37:45       -6.849914        0.1899
BFGS:   87 10:37:45       -6.855824        0.1828
BFGS:   88 10:37:45       -6.859365        0.1778
BFGS:   89 10:37:45       -6.862826        0.1806
BFGS:   90 10:37:45       -6.866316        0.1655
BFGS:   91 10:37:45       -6.869061        0.1394
BFGS:   92 10:37:45       -6.870739        0.1520
BFGS:   93 10:37:45       -6.872266        0.1421
BFGS:   94 10:37:45       -6.874698        0.1599
BFGS:   95 10:37:45       -6.880113        0.1980
