Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0005        -332.9809    -336.2577       3.2768   347.3
0.0010        -332.9802    -336.2003       3.2201   341.3
0.0015        -332.9795    -336.1271       3.1476   333.6
0.0020        -332.9782    -336.0522       3.0740   325.8
0.0025        -332.9769    -335.9942       3.0173   319.8
0.0030        -332.9757    -335.9705       2.9948   317.4
0.0035        -332.9754    -335.9904       3.0150   319.5
0.0040        -332.9760    -336.0450       3.0690   325.2
0.0045        -332.9764    -336.1099       3.1335   332.1
0.0050        -332.9761    -336.1596       3.1835   337.4
0.0055        -332.9745    -336.1783       3.2038   339.5
0.0060        -332.9718    -336.1659       3.1941   338.5
0.0065        -332.9691    -336.1347       3.1656   335.5
0.0070        -332.9671    -336.0990       3.1319   331.9
0.0075        -332.9653    -336.0644       3.0991   328.4
0.0080        -332.9630    -336.0300       3.0669   325.0
0.0085        -332.9604    -335.9969       3.0365   321.8
0.0090        -332.9577    -335.9694       3.0116   319.2
0.0095        -332.9546    -335.9536       2.9990   317.8
0.0100        -332.9513    -335.9564       3.0051   318.5
0.0105        -332.9483    -335.9795       3.0312   321.2
0.0110        -332.9453    -336.0166       3.0713   325.5
0.0115        -332.9422    -336.0561       3.1140   330.0
0.0120        -332.9390    -336.0857       3.1467   333.5
0.0125        -332.9346    -336.0953       3.1606   335.0
0.0130        -332.9300    -336.0834       3.1534   334.2
0.0135        -332.9254    -336.0532       3.1278   331.5
0.0140        -332.9201    -336.0109       3.0908   327.6
0.0145        -332.9148    -335.9668       3.0520   323.4
0.0150        -332.9089    -335.9320       3.0231   320.4
0.0155        -332.9032    -335.9201       3.0169   319.7
0.0160        -332.8973    -335.9397       3.0424   322.4
0.0165        -332.8919    -335.9952       3.1033   328.9
0.0170        -332.8866    -336.0806       3.1941   338.5
0.0175        -332.8818    -336.1798       3.2980   349.5
0.0180        -332.8768    -336.2683       3.3915   359.4
0.0185        -332.8713    -336.3221       3.4508   365.7
0.0190        -332.8652    -336.3253       3.4601   366.7
0.0195        -332.8578    -336.2778       3.4199   362.4
0.0200        -332.8502    -336.1993       3.3490   354.9
0.0205        -332.8428    -336.1199       3.2771   347.3
0.0210        -332.8369    -336.0678       3.2309   342.4
0.0215        -332.8320    -336.0546       3.2225   341.5
0.0220        -332.8278    -336.0730       3.2451   343.9
0.0225        -332.8231    -336.1044       3.2813   347.7
0.0230        -332.8178    -336.1339       3.3161   351.4
0.0235        -332.8121    -336.1550       3.3429   354.3
0.0240        -332.8062    -336.1710       3.3647   356.6
0.0245        -332.8010    -336.1878       3.3868   358.9
0.0250        -332.7963    -336.2043       3.4080   361.2
0.0255        -332.7918    -336.2146       3.4227   362.7
0.0260        -332.7876    -336.2114       3.4238   362.8
0.0265        -332.7827    -336.1906       3.4079   361.2
0.0270        -332.7779    -336.1576       3.3797   358.2
0.0275        -332.7730    -336.1230       3.3500   355.0
0.0280        -332.7687    -336.0989       3.3302   352.9
0.0285        -332.7645    -336.0924       3.3279   352.7
0.0290        -332.7613    -336.1056       3.3442   354.4
0.0295        -332.7584    -336.1320       3.3736   357.5
0.0300        -332.7548    -336.1634       3.4086   361.2
0.0305        -332.7510    -336.1964       3.4454   365.1
0.0310        -332.7478    -336.2311       3.4832   369.1
0.0315        -332.7459    -336.2614       3.5155   372.6
0.0320        -332.7444    -336.2709       3.5265   373.7
0.0325        -332.7420    -336.2433       3.5012   371.1
0.0330        -332.7387    -336.1789       3.4402   364.6
0.0335        -332.7349    -336.0979       3.3630   356.4
0.0340        -332.7316    -336.0297       3.2981   349.5
0.0345        -332.7292    -336.0003       3.2711   346.7
0.0350        -332.7281    -336.0227       3.2946   349.2
0.0355        -332.7278    -336.0915       3.3637   356.5
0.0360        -332.7278    -336.1882       3.4604   366.7
0.0365        -332.7279    -336.2891       3.5613   377.4
0.0370        -332.7284    -336.3719       3.6435   386.1
0.0375        -332.7286    -336.4195       3.6908   391.1
0.0380        -332.7289    -336.4267       3.6978   391.9
0.0385        -332.7297    -336.3966       3.6669   388.6
0.0390        -332.7303    -336.3359       3.6055   382.1
0.0395        -332.7306    -336.2615       3.5309   374.2
0.0400        -332.7315    -336.2005       3.4689   367.6
0.0405        -332.7335    -336.1760       3.4424   364.8
0.0410        -332.7371    -336.1958       3.4587   366.5
0.0415        -332.7420    -336.2463       3.5043   371.4
0.0420        -332.7477    -336.2969       3.5492   376.1
0.0425        -332.7525    -336.3138       3.5612   377.4
0.0430        -332.7561    -336.2794       3.5233   373.4
0.0435        -332.7590    -336.2012       3.4421   364.8
0.0440        -332.7619    -336.1034       3.3416   354.1
0.0445        -332.7648    -336.0155       3.2507   344.5
0.0450        -332.7684    -335.9628       3.1944   338.5
0.0455        -332.7725    -335.9610       3.1886   337.9
0.0460        -332.7774    -336.0134       3.2360   342.9
0.0465        -332.7830    -336.1096       3.3267   352.6
0.0470        -332.7891    -336.2304       3.4413   364.7
0.0475        -332.7958    -336.3504       3.5546   376.7
0.0480        -332.8029    -336.4436       3.6407   385.8
0.0485        -332.8097    -336.4897       3.6800   390.0
0.0490        -332.8163    -336.4805       3.6642   388.3
0.0495        -332.8226    -336.4228       3.6002   381.5
0.0500        -332.8286    -336.3363       3.5077   371.7
0.0505        -332.8342    -336.2506       3.4164   362.1
0.0510        -332.8413    -336.1988       3.3575   355.8
0.0515        -332.8498    -336.1948       3.3450   354.5
0.0520        -332.8593    -336.2289       3.3695   357.1
0.0525        -332.8699    -336.2749       3.4050   360.8
0.0530        -332.8795    -336.2987       3.4192   362.4
0.0535        -332.8883    -336.2795       3.3913   359.4
0.0540        -332.8964    -336.2139       3.3175   351.6
0.0545        -332.9029    -336.1147       3.2118   340.4
0.0550        -332.9092    -336.0105       3.1013   328.7
0.0555        -332.9155    -335.9299       3.0144   319.5
0.0560        -332.9224    -335.8942       2.9718   314.9
0.0565        -332.9296    -335.9110       2.9814   316.0
0.0570        -332.9379    -335.9735       3.0356   321.7
0.0575        -332.9459    -336.0599       3.1141   330.0
0.0580        -332.9544    -336.1454       3.1909   338.2
0.0585        -332.9622    -336.2040       3.2418   343.6
0.0590        -332.9691    -336.2215       3.2525   344.7
0.0595        -332.9751    -336.1987       3.2235   341.6
0.0600        -332.9797    -336.1497       3.1700   336.0
0.0605        -332.9839    -336.1039       3.1201   330.7
0.0610        -332.9888    -336.0932       3.1044   329.0
0.0615        -332.9953    -336.1338       3.1385   332.6
0.0620        -333.0033    -336.2147       3.2115   340.3
0.0625        -333.0122    -336.3016       3.2894   348.6
0.0630        -333.0205    -336.3510       3.3305   353.0
0.0635        -333.0266    -336.3350       3.3085   350.6
0.0640        -333.0312    -336.2549       3.2238   341.6
0.0645        -333.0346    -336.1347       3.1001   328.5
0.0650        -333.0378    -336.0137       2.9759   315.4
0.0655        -333.0414    -335.9294       2.8880   306.1
0.0660        -333.0457    -335.9036       2.8579   302.9
0.0665        -333.0504    -335.9385       2.8880   306.1
0.0670        -333.0553    -336.0210       2.9657   314.3
0.0675        -333.0606    -336.1304       3.0698   325.3
0.0680        -333.0655    -336.2397       3.1741   336.4
0.0685        -333.0703    -336.3252       3.2549   344.9
0.0690        -333.0744    -336.3695       3.2951   349.2
