# Kick = [    1.000000000000e-05,     0.000000000000e+00,     0.000000000000e+00]
#            time            norm                    dmx                    dmy                    dmz
          0.00000000       4.16333634e-16    -1.205309640340e-03     1.944589406650e-03     3.560894497381e-03
          1.24024120       6.66133815e-16    -1.103905000822e-03     1.944586479990e-03     3.560818688230e-03
          2.48048240       3.99680289e-15    -1.009095265867e-03     1.944577013961e-03     3.560643506698e-03
          3.72072360      -4.71844785e-16    -9.195906332113e-04     1.944559370802e-03     3.560395565581e-03
          4.96096480       2.95596880e-15    -8.352911023990e-04     1.944550023794e-03     3.560116974726e-03
          6.20120600       1.74860126e-15    -7.586493539171e-04     1.944557918599e-03     3.559770834599e-03
          7.44144720      -5.55111512e-17    -6.908448189029e-04     1.944556067375e-03     3.559305274245e-03
          8.68168840       2.53963517e-15    -6.326176056612e-04     1.944544841534e-03     3.558731384628e-03
          9.92192960       2.05391260e-15    -5.856004033418e-04     1.944528456042e-03     3.558076807570e-03
         11.16217080       1.52655666e-15    -5.503516900087e-04     1.944516903140e-03     3.557342723476e-03
         12.40241200       1.94289029e-16    -5.270327570290e-04     1.944505976194e-03     3.556539926725e-03
         13.64265320       9.57567359e-16    -5.158398953191e-04     1.944490402845e-03     3.555687293971e-03
         14.88289440       3.66373598e-15    -5.165958671070e-04     1.944476629499e-03     3.554804828384e-03
         16.12313560       1.36002321e-15    -5.287600106136e-04     1.944452113441e-03     3.553903664644e-03
         17.36337680       3.33066907e-16    -5.516124954621e-04     1.944429642319e-03     3.553010698793e-03
         18.60361800       8.60422844e-16    -5.844994619708e-04     1.944389174161e-03     3.552136185564e-03
         19.84385921      -1.70696790e-15    -6.264260968116e-04     1.944344038893e-03     3.551307837582e-03
         21.08410041       3.69149156e-15    -6.763604884465e-04     1.944292950120e-03     3.550542587056e-03
         22.32434161       1.98452366e-15    -7.331538850912e-04     1.944234526085e-03     3.549857794905e-03
         23.56458281      -9.99200722e-16    -7.956289397200e-04     1.944171362736e-03     3.549262595900e-03
         24.80482401       3.42781359e-15    -8.626262316693e-04     1.944102487270e-03     3.548769700207e-03
         26.04506521      -2.35922393e-16    -9.329216791629e-04     1.944036294153e-03     3.548393105536e-03
         27.28530641       2.02615702e-15    -1.005407193905e-03     1.943981008248e-03     3.548139911607e-03
         28.52554761       2.99760217e-15    -1.078901590906e-03     1.943931843188e-03     3.548019783549e-03
         29.76578881       9.02056208e-16    -1.152378108684e-03     1.943889041999e-03     3.548035431901e-03
         31.00603001      -1.94289029e-16    -1.224742735012e-03     1.943838346723e-03     3.548195176841e-03
         32.24627121      -1.58206781e-15    -1.295018567529e-03     1.943776493358e-03     3.548493121903e-03
         33.48651241       2.87270208e-15    -1.362262468722e-03     1.943713167881e-03     3.548930173470e-03
         34.72675361       8.32667268e-17    -1.425684983324e-03     1.943660586167e-03     3.549493279905e-03
         35.96699481       1.54043445e-15    -1.484619305947e-03     1.943624176711e-03     3.550179650760e-03
         37.20723601      -7.77156117e-16    -1.538455122722e-03     1.943591030248e-03     3.550981633791e-03
         38.44747721       1.97064587e-15    -1.586573183299e-03     1.943575406247e-03     3.551902564927e-03
         39.68771841       8.32667268e-16    -1.628321434596e-03     1.943574986451e-03     3.552930076901e-03
         40.92795961       1.11022302e-16    -1.663253247948e-03     1.943597907648e-03     3.554062989446e-03
         42.16820081       2.38697950e-15    -1.691132836441e-03     1.943629516204e-03     3.555269907379e-03
         43.40844201       1.88737914e-15    -1.711828931501e-03     1.943668133914e-03     3.556518130432e-03
         44.64868321       3.08086889e-15    -1.725231866454e-03     1.943719329823e-03     3.557779948020e-03
         45.88892441      -3.60822483e-16    -1.731321637944e-03     1.943787062928e-03     3.559060898957e-03
         47.12916561       1.91513472e-15    -1.730183428902e-03     1.943861356709e-03     3.560370650272e-03
         48.36940681       1.44328993e-15    -1.721905925971e-03     1.943929012362e-03     3.561719421302e-03
         49.60964801       2.91433544e-16    -1.706595706825e-03     1.943996351636e-03     3.563048427583e-03
         50.84988921       2.69229083e-15    -1.684458296671e-03     1.944082683117e-03     3.564290617809e-03
         52.09013041       2.72004641e-15    -1.655852662740e-03     1.944191861385e-03     3.565460592358e-03
         53.33037161       1.36002321e-15    -1.621400576775e-03     1.944310826091e-03     3.566612639983e-03
         54.57061281       5.82867088e-16    -1.581770732683e-03     1.944418691623e-03     3.567714527720e-03
         55.81085401       1.19348975e-15    -1.537470645973e-03     1.944509019283e-03     3.568681839813e-03
         57.05109521      -6.66133815e-16    -1.488971281541e-03     1.944602059286e-03     3.569460841097e-03
         58.29133642       2.65065747e-15    -1.436925175296e-03     1.944713284837e-03     3.570046037843e-03
         59.53157762      -4.02455846e-16    -1.382157910577e-03     1.944813635510e-03     3.570459819991e-03
         60.77181882       2.80331314e-15    -1.325500025874e-03     1.944898566712e-03     3.570756836637e-03
         62.01206002       1.42941214e-15    -1.267705986942e-03     1.944969982392e-03     3.570940900892e-03
         63.25230122       1.30451205e-15    -1.209519548495e-03     1.945046153359e-03     3.571008037451e-03
         64.49254242       4.27435864e-15    -1.151709623745e-03     1.945105985328e-03     3.570887811917e-03
         65.73278362       3.19189120e-16    -1.095060737560e-03     1.945148257699e-03     3.570539122138e-03
         66.97302482       1.02695630e-15    -1.040354863230e-03     1.945185307431e-03     3.569979869402e-03
         68.21326602      -2.62290190e-15    -9.883117244858e-04     1.945229638839e-03     3.569240494706e-03
         69.45350722       1.36002321e-15    -9.395779677388e-04     1.945283773308e-03     3.568328412161e-03
         70.69374842       1.94289029e-16    -8.947791471039e-04     1.945355301372e-03     3.567264389448e-03
         71.93398962      -2.22044605e-16    -8.545761308318e-04     1.945429500436e-03     3.566058064925e-03
         73.17423082       8.32667268e-17    -8.195785602254e-04     1.945481107191e-03     3.564694276470e-03
         74.41447202       2.47024623e-15    -7.902760000129e-04     1.945515975811e-03     3.563185172301e-03
         75.65471322       5.27355937e-16    -7.670251675602e-04     1.945555083782e-03     3.561571536222e-03
         76.89495442       2.38697950e-15    -7.501438531903e-04     1.945591313948e-03     3.559869471718e-03
         78.13519562       1.83186799e-15    -7.399282828202e-04     1.945625071734e-03     3.558100038759e-03
         79.37543682       1.55431223e-15    -7.365419950776e-04     1.945657948939e-03     3.556294840257e-03
         80.61567802       4.51028104e-15    -7.400309825223e-04     1.945673473745e-03     3.554473541224e-03
         81.85591922       4.02455846e-15    -7.503157082276e-04     1.945667625344e-03     3.552654497410e-03
         83.09616042       3.77475828e-15    -7.672172612638e-04     1.945635232122e-03     3.550822501219e-03
         84.33640162       1.19348975e-15    -7.906199073560e-04     1.945573559767e-03     3.549015274737e-03
         85.57664282       3.94129174e-15    -8.202557568895e-04     1.945489240505e-03     3.547270138094e-03
         86.81688402      -3.19189120e-16    -8.557008121737e-04     1.945384548900e-03     3.545620678737e-03
         88.05712522      -1.65145675e-15    -8.964428638341e-04     1.945244741104e-03     3.544097038393e-03
         89.29736642       1.99840144e-15    -9.419407429929e-04     1.945075532261e-03     3.542729500389e-03
         90.53760762       2.49800181e-15    -9.915246855270e-04     1.944902869322e-03     3.541562448628e-03
         91.77784882       1.30451205e-15    -1.044445312900e-03     1.944716956866e-03     3.540623043810e-03
         93.01809002       2.19269047e-15    -1.099991756472e-03     1.944518656608e-03     3.539910196847e-03
         94.25833122      -1.52655666e-16    -1.157397376440e-03     1.944331584798e-03     3.539423348599e-03
         95.49857243       1.83186799e-15    -1.215823308901e-03     1.944154927809e-03     3.539178441783e-03
         96.73881363       9.99200722e-16    -1.274458175083e-03     1.943978130248e-03     3.539186240689e-03
         97.97905483       4.02455846e-16    -1.332485078537e-03     1.943815028155e-03     3.539460223704e-03
         99.21929603       4.02455846e-15    -1.389023679223e-03     1.943664088361e-03     3.540016360500e-03
        100.45953723       6.10622664e-16    -1.443231236381e-03     1.943505003803e-03     3.540841833241e-03
        101.69977843      -2.22044605e-16    -1.494306184345e-03     1.943350665294e-03     3.541887512395e-03
        102.94001963       9.43689571e-16    -1.541402213898e-03     1.943227608569e-03     3.543118634173e-03
        104.18026083       3.02535774e-15    -1.583758065131e-03     1.943135045047e-03     3.544551619812e-03
        105.42050203      -1.38777878e-15    -1.620838291615e-03     1.943041794688e-03     3.546226537673e-03
        106.66074323       1.36002321e-15    -1.652162006351e-03     1.942929744497e-03     3.548106848973e-03
        107.90098443       2.15105711e-15    -1.677154616948e-03     1.942810540021e-03     3.550078908912e-03
        109.14122563       1.70696790e-15    -1.695259789410e-03     1.942704629460e-03     3.552070844459e-03
        110.38146683       1.55431223e-15    -1.706058001348e-03     1.942627317460e-03     3.554101046446e-03
        111.62170803       1.38777878e-16    -1.709323265062e-03     1.942575662765e-03     3.556203455606e-03
        112.86194923      -1.38777878e-16    -1.704963630208e-03     1.942537065827e-03     3.558381585171e-03
        114.10219043       2.05391260e-15    -1.693016293915e-03     1.942532783462e-03     3.560574976540e-03
        115.34243163       1.05471187e-15    -1.673614329430e-03     1.942575344180e-03     3.562724314990e-03
        116.58267283      -1.08246745e-15    -1.646862162268e-03     1.942640139616e-03     3.564774814137e-03
        117.82291403       7.63278329e-16    -1.613013814092e-03     1.942719672336e-03     3.566699393555e-03
        119.06315523       7.91033905e-16    -1.572437505567e-03     1.942846221727e-03     3.568493069707e-03
        120.30339643       8.88178420e-16    -1.525721779020e-03     1.943019961938e-03     3.570183416924e-03
        121.54363763       4.59354776e-15    -1.473567943238e-03     1.943218360488e-03     3.571771829034e-03
        122.78387883      -1.02695630e-15    -1.416666305819e-03     1.943450124284e-03     3.573178723173e-03
        124.02412003       1.01307851e-15    -1.355818544885e-03     1.943704347428e-03     3.574331202264e-03
        125.26436123       1.70696790e-15    -1.291992378564e-03     1.943929323229e-03     3.575226148900e-03
        126.50460243       2.08166817e-15    -1.226234207495e-03     1.944136592336e-03     3.575879900060e-03
        127.74484363       0.00000000e+00    -1.159542006484e-03     1.944343476457e-03     3.576291791861e-03
        128.98508483      -2.91433544e-16    -1.092988563393e-03     1.944544509692e-03     3.576454504483e-03
        130.22532603       6.66133815e-16    -1.027712635404e-03     1.944749124592e-03     3.576371630769e-03
        131.46556723       3.69149156e-15    -9.647698920303e-04     1.944960698393e-03     3.576076608475e-03
        132.70580843       8.32667268e-17    -9.051695649926e-04     1.945162919150e-03     3.575593637116e-03
        133.94604964       1.77635684e-15    -8.499314239496e-04     1.945348379078e-03     3.574922349353e-03
        135.18629084      -9.99200722e-16    -8.000085595308e-04     1.945507523793e-03     3.574043510287e-03
        136.42653204       6.93889390e-17    -7.562800884933e-04     1.945632523773e-03     3.572933593194e-03
        137.66677324      -1.83186799e-15    -7.195309963839e-04     1.945733806871e-03     3.571605910202e-03
        138.90701444       3.38618023e-15    -6.903615270684e-04     1.945829187386e-03     3.570090218028e-03
        140.14725564       2.45636844e-15    -6.693579221753e-04     1.945922612411e-03     3.568405081008e-03
        141.38749684       3.63598041e-15    -6.569196079922e-04     1.946023398729e-03     3.566591397983e-03
        142.62773804       2.49800181e-15    -6.533982730934e-04     1.946132781680e-03     3.564683767779e-03
        143.86797924       2.66453526e-15    -6.588688234315e-04     1.946217566576e-03     3.562708398601e-03
        145.10822044       5.24580379e-15    -6.730856089625e-04     1.946238346202e-03     3.560674643015e-03
        146.34846164       6.93889390e-16    -6.958717638095e-04     1.946222808140e-03     3.558568793183e-03
        147.58870284       2.24820162e-15    -7.268265353142e-04     1.946224700888e-03     3.556408933719e-03
        148.82894404       9.43689571e-16    -7.654571541948e-04     1.946242447414e-03     3.554222041587e-03
        150.06918524       6.93889390e-16    -8.111698764917e-04     1.946238290642e-03     3.552051125069e-03
        151.30942644       1.73472348e-15    -8.631543288482e-04     1.946216495803e-03     3.549909876568e-03
        152.54966764       1.74860126e-15    -9.203931811372e-04     1.946189391977e-03     3.547776600132e-03
        153.78990884       2.55351296e-15    -9.818573389992e-04     1.946134720359e-03     3.545683345578e-03
        155.03015004      -3.88578059e-16    -1.046554108438e-03     1.946067828753e-03     3.543713671191e-03
        156.27039124      -1.49880108e-15    -1.113461011804e-03     1.945992523750e-03     3.541927129205e-03
        157.51063244      -8.60422844e-16    -1.181501354650e-03     1.945889800874e-03     3.540358925636e-03
        158.75087364       1.95676808e-15    -1.249547793644e-03     1.945779568123e-03     3.539024163959e-03
        159.99111484      -1.22124533e-15    -1.316387434024e-03     1.945678139196e-03     3.537898653373e-03
        161.23135604       2.30371278e-15    -1.380848890977e-03     1.945572464923e-03     3.536999315232e-03
        162.47159724       1.58206781e-15    -1.441994790732e-03     1.945444946662e-03     3.536422264190e-03
        163.71183844       9.15933995e-16    -1.499053452000e-03     1.945281000437e-03     3.536201247343e-03
        164.95207964       6.66133815e-16    -1.551254634049e-03     1.945091111991e-03     3.536284795840e-03
        166.19232084       3.33066907e-15    -1.597806891837e-03     1.944892772069e-03     3.536656300693e-03
        167.43256204      -2.77555756e-17    -1.638080284079e-03     1.944682634550e-03     3.537302093434e-03
        168.67280324       6.80011603e-16    -1.671668952801e-03     1.944443913660e-03     3.538194186231e-03
        169.91304444       5.27355937e-16    -1.698156327920e-03     1.944166158227e-03     3.539363325999e-03
        171.15328564       2.06779038e-15    -1.717196377641e-03     1.943864783269e-03     3.540859884204e-03
        172.39352685       5.82867088e-16    -1.728667386939e-03     1.943578664378e-03     3.542645340504e-03
        173.63376805       6.66133815e-16    -1.732589508170e-03     1.943342747385e-03     3.544649643370e-03
        174.87400925      -1.66533454e-16    -1.729002380528e-03     1.943144953606e-03     3.546816697704e-03
        176.11425045       2.53963517e-15    -1.718024227792e-03     1.942945119199e-03     3.549111225552e-03
        177.35449165      -1.11022302e-16    -1.699912855898e-03     1.942716515070e-03     3.551539193858e-03
        178.59473285       3.71924713e-15    -1.675023413382e-03     1.942474688010e-03     3.554131561787e-03
        179.83497405       1.16573418e-15    -1.643763489710e-03     1.942260854793e-03     3.556841498236e-03
        181.07521525       7.21644966e-16    -1.606583418133e-03     1.942104932809e-03     3.559552348961e-03
        182.31545645      -2.22044605e-15    -1.564017459098e-03     1.942012759111e-03     3.562177206313e-03
        183.55569765       1.38777878e-17    -1.516713110897e-03     1.941955861607e-03     3.564678603495e-03
        184.79593885       1.38777878e-17    -1.465384150086e-03     1.941909175238e-03     3.567042030210e-03
        186.03618005       1.22124533e-15    -1.410735970160e-03     1.941863964873e-03     3.569242183487e-03
        187.27642125       1.38777878e-17    -1.353519819031e-03     1.941854807312e-03     3.571227847811e-03
        188.51666245       3.95516953e-15    -1.294544833080e-03     1.941893263401e-03     3.572979174409e-03
        189.75690365      -9.71445147e-16    -1.234695473904e-03     1.941980898343e-03     3.574505907734e-03
        190.99714485      -1.05471187e-15    -1.174812144420e-03     1.942115681795e-03     3.575801311210e-03
        192.23738605       1.63757896e-15    -1.115690190415e-03     1.942283175110e-03     3.576832251249e-03
        193.47762725       2.12330153e-15    -1.058100393988e-03     1.942454533010e-03     3.577575466256e-03
        194.71786845       4.99600361e-16    -1.002798800845e-03     1.942623012805e-03     3.578051297715e-03
        195.95810965       5.55111512e-16    -9.505850094103e-04     1.942805440882e-03     3.578297514050e-03
        197.19835085       1.55431223e-15    -9.022412937343e-04     1.943008628711e-03     3.578311846089e-03
        198.43859205       9.02056208e-16    -8.584151212490e-04     1.943204939592e-03     3.578046627054e-03
        199.67883325       5.87030424e-15    -8.196842508577e-04     1.943398295097e-03     3.577480934175e-03
        200.91907445       2.90045765e-15    -7.866232717544e-04     1.943619873801e-03     3.576630868479e-03
        202.15931565       9.43689571e-16    -7.596855883487e-04     1.943875000840e-03     3.575524141447e-03
        203.39955685       6.10622664e-16    -7.391555596037e-04     1.944137704496e-03     3.574186186808e-03
        204.63979805      -5.13478149e-16    -7.252462849463e-04     1.944400009095e-03     3.572632700353e-03
        205.88003925       2.33146835e-15    -7.180718577837e-04     1.944673698564e-03     3.570873085533e-03
        207.12028045       4.20496971e-15    -7.176888946701e-04     1.944955815993e-03     3.568920996299e-03
        208.36052165       1.48492330e-15    -7.241268673508e-04     1.945235469395e-03     3.566774794645e-03
        209.60076286      -5.55111512e-16    -7.373725329898e-04     1.945507137451e-03     3.564419195079e-03
