# Kick = [    0.000000000000e+00,     1.000000000000e-05,     0.000000000000e+00]
#            time            norm                    dmx                    dmy                    dmz
          0.00000000       4.16333634e-16    -1.205309640340e-03     1.944589406650e-03     3.560894497381e-03
          1.24024120      -1.49880108e-15    -1.205326822519e-03     2.046031858977e-03     3.560923577207e-03
          2.48048240       3.80251386e-15    -1.205348366696e-03     2.140893813994e-03     3.560939514453e-03
          3.72072360       6.52256027e-16    -1.205409439552e-03     2.230478400193e-03     3.560945583766e-03
          4.96096480       8.32667268e-16    -1.205513336116e-03     2.314897967847e-03     3.561007797558e-03
          6.20120600      -4.30211422e-16    -1.205664914131e-03     2.391716794929e-03     3.561215227152e-03
          7.44144720       1.63757896e-15    -1.205837505662e-03     2.459781164713e-03     3.561662516918e-03
          8.68168840       3.46944695e-15    -1.206032696663e-03     2.518298264188e-03     3.562332216851e-03
          9.92192960       1.31838984e-15    -1.206246733748e-03     2.565646931848e-03     3.563189758844e-03
         11.16217080       1.40165657e-15    -1.206476370653e-03     2.601263324023e-03     3.564269391297e-03
         12.40241200       1.67921232e-15    -1.206718749124e-03     2.624975601279e-03     3.565547920972e-03
         13.64265320       9.43689571e-16    -1.206962065180e-03     2.636661142182e-03     3.566985997076e-03
         14.88289440       4.99600361e-16    -1.207208808679e-03     2.636326255254e-03     3.568582704749e-03
         16.12313560       4.35762537e-15    -1.207448935066e-03     2.624581491747e-03     3.570302328933e-03
         17.36337680      -1.94289029e-15    -1.207689532293e-03     2.602138470646e-03     3.572075931226e-03
         18.60361800      -1.92901251e-15    -1.207905123819e-03     2.569635637244e-03     3.573841217627e-03
         19.84385921       5.68989300e-16    -1.208102161623e-03     2.528060530973e-03     3.575537449390e-03
         21.08410041       2.99760217e-15    -1.208280087245e-03     2.478442072215e-03     3.577118479633e-03
         22.32434161       2.38697950e-15    -1.208432790574e-03     2.421919076432e-03     3.578529222773e-03
         23.56458281       2.22044605e-15    -1.208562533802e-03     2.359665469659e-03     3.579737245336e-03
         24.80482401       3.33066907e-16    -1.208670191611e-03     2.292838418034e-03     3.580675117304e-03
         26.04506521      -2.22044605e-16    -1.208749905954e-03     2.222650726448e-03     3.581308032214e-03
         27.28530641      -1.34614542e-15    -1.208806617213e-03     2.150201897647e-03     3.581585311725e-03
         28.52554761       2.42861287e-15    -1.208831468111e-03     2.076689077875e-03     3.581505112622e-03
         29.76578881       1.27675648e-15    -1.208834326171e-03     2.003158140985e-03     3.581037912012e-03
         31.00603001       3.33066907e-15    -1.208814721082e-03     1.930700494180e-03     3.580183467187e-03
         32.24627121       3.55271368e-15    -1.208777540995e-03     1.860251347271e-03     3.578930083979e-03
         33.48651241       2.94209102e-15    -1.208718913949e-03     1.792717133190e-03     3.577289737894e-03
         34.72675361       2.20656826e-15    -1.208638484106e-03     1.728909157668e-03     3.575272214755e-03
         35.96699481      -1.94289029e-16    -1.208534670117e-03     1.669565098723e-03     3.572909571965e-03
         37.20723601       1.66533454e-16    -1.208410845023e-03     1.615322103463e-03     3.570223368476e-03
         38.44747721       1.66533454e-16    -1.208270202457e-03     1.566803200106e-03     3.567228639840e-03
         39.68771841      -9.43689571e-16    -1.208113931700e-03     1.524583129149e-03     3.563932494747e-03
         40.92795961       2.77555756e-17    -1.207940550623e-03     1.489104030937e-03     3.560389984964e-03
         42.16820081       4.02455846e-15    -1.207760238030e-03     1.460652983168e-03     3.556677937755e-03
         43.40844201       1.41553436e-15    -1.207576377712e-03     1.439400297023e-03     3.552879926700e-03
         44.64868321       3.60822483e-16    -1.207391311345e-03     1.425422256889e-03     3.549041416036e-03
         45.88892441       2.10942375e-15    -1.207201723307e-03     1.418755660326e-03     3.545204101152e-03
         47.12916561       7.49400542e-16    -1.207022132431e-03     1.419380604204e-03     3.541385723422e-03
         48.36940681      -1.09634524e-15    -1.206858456258e-03     1.427203224249e-03     3.537600496667e-03
         49.60964801       1.05471187e-15    -1.206703910454e-03     1.442093139221e-03     3.533896734935e-03
         50.84988921       2.77555756e-16    -1.206548297157e-03     1.463832377365e-03     3.530330051821e-03
         52.09013041       5.96744876e-16    -1.206390884186e-03     1.492016364530e-03     3.526971995586e-03
         53.33037161       9.71445147e-17    -1.206241632577e-03     1.526031154348e-03     3.523914196349e-03
         54.57061281       1.16573418e-15    -1.206111749285e-03     1.565290086795e-03     3.521232625146e-03
         55.81085401       6.10622664e-16    -1.206011215937e-03     1.609289299035e-03     3.518952526027e-03
         57.05109521      -7.35522754e-16    -1.205922893150e-03     1.657532182457e-03     3.517073604298e-03
         58.29133642       9.99200722e-16    -1.205833608177e-03     1.709400128127e-03     3.515650897474e-03
         59.53157762      -7.21644966e-16    -1.205764131642e-03     1.764071286651e-03     3.514773972636e-03
         60.77181882       2.16493490e-15    -1.205729527767e-03     1.820709449417e-03     3.514449019337e-03
         62.01206002       1.83186799e-15    -1.205707513220e-03     1.878549206260e-03     3.514659367356e-03
         63.25230122       2.91433544e-16    -1.205691953583e-03     1.936832392515e-03     3.515396964039e-03
         64.49254242       3.88578059e-16    -1.205692088388e-03     1.994780280056e-03     3.516680367216e-03
         65.73278362       4.30211422e-15    -1.205721224577e-03     2.051612136581e-03     3.518462513887e-03
         66.97302482       1.80411242e-16    -1.205767782104e-03     2.106551271840e-03     3.520755851777e-03
         68.21326602       1.76247905e-15    -1.205827156514e-03     2.158890626471e-03     3.523592071702e-03
         69.45350722       1.37390099e-15    -1.205890084452e-03     2.208017215659e-03     3.526999991067e-03
         70.69374842       1.30451205e-15    -1.205958533488e-03     2.253309628244e-03     3.530966873066e-03
         71.93398962      -1.94289029e-16    -1.206041273084e-03     2.294104075379e-03     3.535448102561e-03
         73.17423082       3.17801341e-15    -1.206153641383e-03     2.329755997299e-03     3.540321831674e-03
         74.41447202      -1.91513472e-15    -1.206278846967e-03     2.359725360222e-03     3.545483629615e-03
         75.65471322      -5.82867088e-16    -1.206401899851e-03     2.383618472090e-03     3.550866300698e-03
         76.89495442      -1.66533454e-16    -1.206520387998e-03     2.401138099287e-03     3.556446163880e-03
         78.13519562       2.05391260e-15    -1.206633416655e-03     2.412028639399e-03     3.562170126820e-03
         79.37543682       2.69229083e-15    -1.206732660307e-03     2.416112048599e-03     3.567972241908e-03
         80.61567802       6.66133815e-16    -1.206836787381e-03     2.413328548993e-03     3.573745552282e-03
         81.85591922       2.16493490e-15    -1.206958932477e-03     2.403756860338e-03     3.579392374168e-03
         83.09616042       2.40085729e-15    -1.207087102270e-03     2.387527050996e-03     3.584883358197e-03
         84.33640162       1.01307851e-15    -1.207219912285e-03     2.364724584453e-03     3.590185437111e-03
         85.57664282       1.30451205e-15    -1.207350629998e-03     2.335627686801e-03     3.595207724655e-03
         86.81688402       1.91513472e-15    -1.207468036788e-03     2.300692302732e-03     3.599841208523e-03
         88.05712522       4.30211422e-16    -1.207589926900e-03     2.260394814217e-03     3.603969661569e-03
         89.29736642       1.13797860e-15    -1.207727542151e-03     2.215253787683e-03     3.607524026651e-03
         90.53760762      -8.88178420e-16    -1.207861796965e-03     2.165952587187e-03     3.610462576112e-03
         91.77784882       1.66533454e-15    -1.207992044790e-03     2.113253828571e-03     3.612743758755e-03
         93.01809002       6.80011603e-16    -1.208119644065e-03     2.057874499937e-03     3.614356816849e-03
         94.25833122      -8.88178420e-16    -1.208238152255e-03     2.000558722401e-03     3.615289329393e-03
         95.49857243       1.66533454e-16    -1.208351289495e-03     1.942121271357e-03     3.615486769479e-03
         96.73881363       5.27355937e-16    -1.208459417629e-03     1.883401773846e-03     3.614910344183e-03
         97.97905483       1.60982339e-15    -1.208553402473e-03     1.825249688311e-03     3.613581345379e-03
         99.21929603       4.99600361e-16    -1.208633644687e-03     1.768505210404e-03     3.611511204447e-03
        100.45953723       2.91433544e-16    -1.208703706881e-03     1.714005400604e-03     3.608688700726e-03
        101.69977843       2.04003481e-15    -1.208751853049e-03     1.662601102220e-03     3.605150355218e-03
        102.94001963       7.49400542e-16    -1.208750098331e-03     1.615137120538e-03     3.600948537706e-03
        104.18026083       2.60902411e-15    -1.208694300709e-03     1.572286569540e-03     3.596098069202e-03
        105.42050203       6.52256027e-16    -1.208601160656e-03     1.534605471225e-03     3.590663327537e-03
        106.66074323      -1.38777878e-16    -1.208489230593e-03     1.502640396594e-03     3.584753554449e-03
        107.90098443       1.41553436e-15    -1.208357692681e-03     1.476994920560e-03     3.578462103306e-03
        109.14122563      -7.07767178e-16    -1.208199420327e-03     1.458212811627e-03     3.571892586169e-03
        110.38146683       1.66533454e-15    -1.208006833733e-03     1.446688834458e-03     3.565146346325e-03
