# Photoabsorption spectrum from real-time propagation
# GPAW version: 20.1.0
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [1e-05, 0, 0]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    0.000000     0.0000000000e+00     0.0000000000e+00     0.0000000000e+00
    0.050000    -2.2801918809e-03    -0.0000000000e+00    -0.0000000000e+00
    0.100000    -4.9708904483e-03    -0.0000000000e+00    -0.0000000000e+00
    0.150000    -5.1644296974e-03    -0.0000000000e+00    -0.0000000000e+00
    0.200000    -4.7253673864e-03    -0.0000000000e+00    -0.0000000000e+00
    0.250000    -4.4865518195e-03    -0.0000000000e+00    -0.0000000000e+00
    0.300000    -4.4818783865e-03    -0.0000000000e+00    -0.0000000000e+00
    0.350000    -4.4219665083e-03    -0.0000000000e+00    -0.0000000000e+00
    0.400000    -4.4220204668e-03    -0.0000000000e+00    -0.0000000000e+00
    0.450000    -4.3239143168e-03    -0.0000000000e+00    -0.0000000000e+00
    0.500000    -4.3530049040e-03    -0.0000000000e+00    -0.0000000000e+00
    0.550000    -4.3644545199e-03    -0.0000000000e+00    -0.0000000000e+00
    0.600000    -4.4148720436e-03    -0.0000000000e+00    -0.0000000000e+00
    0.650000    -4.5404926374e-03    -0.0000000000e+00    -0.0000000000e+00
    0.700000    -4.5905162876e-03    -0.0000000000e+00    -0.0000000000e+00
    0.750000    -4.7954871614e-03    -0.0000000000e+00    -0.0000000000e+00
    0.800000    -4.7354476182e-03    -0.0000000000e+00    -0.0000000000e+00
    0.850000    -4.8852307585e-03    -0.0000000000e+00    -0.0000000000e+00
    0.900000    -4.8415870573e-03    -0.0000000000e+00    -0.0000000000e+00
    0.950000    -5.1771103694e-03    -0.0000000000e+00    -0.0000000000e+00
    1.000000    -5.2186389014e-03    -0.0000000000e+00    -0.0000000000e+00
    1.050000    -4.3536696885e-03    -0.0000000000e+00    -0.0000000000e+00
    1.100000     6.9670122283e-03    -0.0000000000e+00    -0.0000000000e+00
    1.150000     5.5512608762e-02    -0.0000000000e+00    -0.0000000000e+00
    1.200000     1.3929623056e-01    -0.0000000000e+00    -0.0000000000e+00
    1.250000     1.6552489179e-01     0.0000000000e+00    -0.0000000000e+00
    1.300000     9.5807894404e-02     0.0000000000e+00    -0.0000000000e+00
    1.350000     2.4474582467e-02     0.0000000000e+00    -0.0000000000e+00
    1.400000    -3.7222157763e-03    -0.0000000000e+00    -0.0000000000e+00
    1.450000    -8.7956848766e-03    -0.0000000000e+00    -0.0000000000e+00
    1.500000     2.5173805888e-03    -0.0000000000e+00    -0.0000000000e+00
    1.550000     5.0846023831e-02    -0.0000000000e+00    -0.0000000000e+00
    1.600000     1.3508009330e-01    -0.0000000000e+00    -0.0000000000e+00
    1.650000     3.1613411350e-01     0.0000000000e+00    -0.0000000000e+00
    1.700000     7.5927878727e-01     0.0000000000e+00     0.0000000000e+00
    1.750000     1.2177559348e+00     0.0000000000e+00     0.0000000000e+00
    1.800000     1.1275035476e+00    -0.0000000000e+00     0.0000000000e+00
    1.850000     5.9739491213e-01    -0.0000000000e+00     0.0000000000e+00
    1.900000     1.7710878948e-01    -0.0000000000e+00    -0.0000000000e+00
    1.950000     2.1413006993e-02    -0.0000000000e+00    -0.0000000000e+00
    2.000000    -7.1997778623e-03    -0.0000000000e+00    -0.0000000000e+00
    2.050000    -6.1177744612e-03    -0.0000000000e+00    -0.0000000000e+00
    2.100000    -1.7361833450e-03    -0.0000000000e+00    -0.0000000000e+00
    2.150000    -3.2395515692e-03    -0.0000000000e+00    -0.0000000000e+00
    2.200000    -4.5412877453e-03    -0.0000000000e+00    -0.0000000000e+00
    2.250000     5.1185002666e-03    -0.0000000000e+00    -0.0000000000e+00
    2.300000     8.2045896847e-02    -0.0000000000e+00    -0.0000000000e+00
    2.350000     3.8751809688e-01    -0.0000000000e+00    -0.0000000000e+00
    2.400000     8.7153871277e-01    -0.0000000000e+00    -0.0000000000e+00
    2.450000     1.0162860522e+00    -0.0000000000e+00    -0.0000000000e+00
    2.500000     1.1012154347e+00    -0.0000000000e+00    -0.0000000000e+00
    2.550000     3.9803391060e+00     0.0000000000e+00    -0.0000000000e+00
    2.600000     1.3456185727e+01     0.0000000000e+00    -0.0000000000e+00
    2.650000     2.4707737290e+01     0.0000000000e+00     0.0000000000e+00
    2.700000     2.6291277311e+01    -0.0000000000e+00     0.0000000000e+00
    2.750000     1.9643593539e+01    -0.0000000000e+00     0.0000000000e+00
    2.800000     1.1500165062e+01    -0.0000000000e+00     0.0000000000e+00
    2.850000     4.7721648183e+00     0.0000000000e+00     0.0000000000e+00
    2.900000     1.8336933117e+00     0.0000000000e+00     0.0000000000e+00
    2.950000     1.4418168192e+00     0.0000000000e+00     0.0000000000e+00
    3.000000     1.1080617869e+00     0.0000000000e+00     0.0000000000e+00
    3.050000     5.7858458914e-01    -0.0000000000e+00     0.0000000000e+00
    3.100000     4.4417036961e-01     0.0000000000e+00     0.0000000000e+00
    3.150000     4.6338859408e-01     0.0000000000e+00     0.0000000000e+00
    3.200000     2.9588707932e-01    -0.0000000000e+00     0.0000000000e+00
    3.250000     1.5424827738e-01    -0.0000000000e+00     0.0000000000e+00
    3.300000     3.8893148795e-01    -0.0000000000e+00     0.0000000000e+00
    3.350000     1.1754198511e+00    -0.0000000000e+00     0.0000000000e+00
    3.400000     1.8502199041e+00     0.0000000000e+00     0.0000000000e+00
    3.450000     1.4863664799e+00     0.0000000000e+00     0.0000000000e+00
    3.500000     6.8498369731e-01     0.0000000000e+00     0.0000000000e+00
    3.550000     4.5832067196e-01    -0.0000000000e+00     0.0000000000e+00
    3.600000     7.7845616577e-01    -0.0000000000e+00     0.0000000000e+00
    3.650000     9.8259889589e-01    -0.0000000000e+00     0.0000000000e+00
    3.700000     9.0349406700e-01    -0.0000000000e+00     0.0000000000e+00
    3.750000     1.0813741843e+00     0.0000000000e+00     0.0000000000e+00
    3.800000     1.3632843076e+00     0.0000000000e+00    -0.0000000000e+00
    3.850000     1.4734997716e+00     0.0000000000e+00    -0.0000000000e+00
    3.900000     2.0176267696e+00     0.0000000000e+00    -0.0000000000e+00
    3.950000     2.7392813999e+00     0.0000000000e+00     0.0000000000e+00
    4.000000     2.6075911196e+00    -0.0000000000e+00     0.0000000000e+00
    4.050000     1.7422453135e+00    -0.0000000000e+00     0.0000000000e+00
    4.100000     9.8693166615e-01    -0.0000000000e+00     0.0000000000e+00
    4.150000     5.9122073377e-01    -0.0000000000e+00     0.0000000000e+00
    4.200000     5.0026296276e-01     0.0000000000e+00     0.0000000000e+00
    4.250000     5.9390129524e-01     0.0000000000e+00     0.0000000000e+00
    4.300000     5.1102561391e-01     0.0000000000e+00     0.0000000000e+00
    4.350000     2.5176993866e-01     0.0000000000e+00    -0.0000000000e+00
    4.400000     8.3554878779e-02     0.0000000000e+00    -0.0000000000e+00
    4.450000     8.8224917089e-02     0.0000000000e+00    -0.0000000000e+00
    4.500000     2.7672885217e-01     0.0000000000e+00    -0.0000000000e+00
    4.550000     6.0611502004e-01     0.0000000000e+00     0.0000000000e+00
    4.600000     8.7008041408e-01    -0.0000000000e+00     0.0000000000e+00
    4.650000     9.1292987600e-01    -0.0000000000e+00     0.0000000000e+00
    4.700000     7.2592718210e-01    -0.0000000000e+00     0.0000000000e+00
    4.750000     4.1223440859e-01    -0.0000000000e+00     0.0000000000e+00
    4.800000     2.0460458109e-01     0.0000000000e+00     0.0000000000e+00
    4.850000     1.6491629520e-01     0.0000000000e+00     0.0000000000e+00
    4.900000     1.7456997480e-01     0.0000000000e+00     0.0000000000e+00
    4.950000     2.0445490236e-01     0.0000000000e+00     0.0000000000e+00
    5.000000     3.1948955522e-01     0.0000000000e+00     0.0000000000e+00
    5.050000     5.5531727812e-01    -0.0000000000e+00     0.0000000000e+00
    5.100000     8.6503613984e-01    -0.0000000000e+00     0.0000000000e+00
    5.150000     9.5553618455e-01    -0.0000000000e+00     0.0000000000e+00
    5.200000     6.9428739692e-01     0.0000000000e+00     0.0000000000e+00
    5.250000     3.7861814293e-01     0.0000000000e+00    -0.0000000000e+00
    5.300000     2.0735199926e-01     0.0000000000e+00    -0.0000000000e+00
    5.350000     1.4548777634e-01     0.0000000000e+00    -0.0000000000e+00
    5.400000     1.1432960559e-01    -0.0000000000e+00    -0.0000000000e+00
    5.450000     8.5848728857e-02    -0.0000000000e+00    -0.0000000000e+00
    5.500000     8.3085796104e-02    -0.0000000000e+00     0.0000000000e+00
    5.550000     1.2429690668e-01    -0.0000000000e+00     0.0000000000e+00
    5.600000     1.7989798436e-01    -0.0000000000e+00     0.0000000000e+00
    5.650000     2.1826979402e-01     0.0000000000e+00     0.0000000000e+00
    5.700000     2.1055504721e-01     0.0000000000e+00     0.0000000000e+00
    5.750000     1.5588213974e-01     0.0000000000e+00     0.0000000000e+00
    5.800000     1.1615733889e-01     0.0000000000e+00     0.0000000000e+00
    5.850000     1.4244205694e-01    -0.0000000000e+00     0.0000000000e+00
    5.900000     1.8955666035e-01    -0.0000000000e+00     0.0000000000e+00
    5.950000     1.7073340970e-01    -0.0000000000e+00     0.0000000000e+00
    6.000000     1.1221857690e-01    -0.0000000000e+00     0.0000000000e+00
    6.050000     9.9466749503e-02    -0.0000000000e+00     0.0000000000e+00
    6.100000     1.2688947532e-01    -0.0000000000e+00     0.0000000000e+00
    6.150000     1.2942498908e-01    -0.0000000000e+00    -0.0000000000e+00
    6.200000     1.1764953795e-01    -0.0000000000e+00    -0.0000000000e+00
    6.250000     1.4938328386e-01     0.0000000000e+00    -0.0000000000e+00
    6.300000     2.0711081612e-01     0.0000000000e+00    -0.0000000000e+00
    6.350000     2.0409601689e-01     0.0000000000e+00    -0.0000000000e+00
    6.400000     1.4294823994e-01     0.0000000000e+00     0.0000000000e+00
    6.450000     9.8189793777e-02     0.0000000000e+00     0.0000000000e+00
    6.500000     7.1393229878e-02     0.0000000000e+00     0.0000000000e+00
    6.550000     4.7136202088e-02    -0.0000000000e+00     0.0000000000e+00
    6.600000     3.5752773655e-02    -0.0000000000e+00     0.0000000000e+00
    6.650000     3.4348318075e-02    -0.0000000000e+00     0.0000000000e+00
    6.700000     2.9405105833e-02    -0.0000000000e+00     0.0000000000e+00
    6.750000     3.0364851221e-02    -0.0000000000e+00     0.0000000000e+00
    6.800000     4.5043909815e-02    -0.0000000000e+00    -0.0000000000e+00
    6.850000     6.2351786907e-02    -0.0000000000e+00    -0.0000000000e+00
    6.900000     8.2341909851e-02    -0.0000000000e+00     0.0000000000e+00
    6.950000     1.0396724514e-01     0.0000000000e+00     0.0000000000e+00
    7.000000     1.0403681409e-01     0.0000000000e+00     0.0000000000e+00
    7.050000     8.5037693060e-02     0.0000000000e+00     0.0000000000e+00
    7.100000     6.4601061866e-02     0.0000000000e+00     0.0000000000e+00
    7.150000     4.5069915632e-02     0.0000000000e+00    -0.0000000000e+00
    7.200000     3.2795923857e-02    -0.0000000000e+00    -0.0000000000e+00
    7.250000     2.5974528830e-02    -0.0000000000e+00    -0.0000000000e+00
    7.300000     2.2601512188e-02    -0.0000000000e+00     0.0000000000e+00
    7.350000     2.6063039066e-02    -0.0000000000e+00     0.0000000000e+00
    7.400000     3.1675400476e-02    -0.0000000000e+00     0.0000000000e+00
    7.450000     3.1052445078e-02    -0.0000000000e+00     0.0000000000e+00
    7.500000     2.7038441303e-02    -0.0000000000e+00     0.0000000000e+00
    7.550000     2.5615279297e-02    -0.0000000000e+00    -0.0000000000e+00
    7.600000     2.7271343782e-02     0.0000000000e+00    -0.0000000000e+00
    7.650000     2.9208862618e-02     0.0000000000e+00     0.0000000000e+00
    7.700000     2.6289339166e-02     0.0000000000e+00     0.0000000000e+00
    7.750000     2.0033600815e-02    -0.0000000000e+00     0.0000000000e+00
    7.800000     1.4095933827e-02    -0.0000000000e+00    -0.0000000000e+00
    7.850000     1.2387452776e-02    -0.0000000000e+00    -0.0000000000e+00
    7.900000     1.5296897993e-02    -0.0000000000e+00    -0.0000000000e+00
    7.950000     2.1884936858e-02    -0.0000000000e+00    -0.0000000000e+00
    8.000000     2.9013884531e-02    -0.0000000000e+00    -0.0000000000e+00
    8.050000     3.1606484842e-02    -0.0000000000e+00    -0.0000000000e+00
    8.100000     2.8713953724e-02     0.0000000000e+00     0.0000000000e+00
    8.150000     2.4821400107e-02     0.0000000000e+00     0.0000000000e+00
    8.200000     2.3468229319e-02     0.0000000000e+00     0.0000000000e+00
    8.250000     2.3065336733e-02    -0.0000000000e+00     0.0000000000e+00
    8.300000     2.3173195637e-02    -0.0000000000e+00     0.0000000000e+00
    8.350000     2.3535346825e-02     0.0000000000e+00     0.0000000000e+00
    8.400000     2.5493409001e-02     0.0000000000e+00     0.0000000000e+00
    8.450000     2.5100039995e-02     0.0000000000e+00     0.0000000000e+00
    8.500000     1.9789976057e-02     0.0000000000e+00     0.0000000000e+00
    8.550000     1.4302633308e-02     0.0000000000e+00     0.0000000000e+00
    8.600000     1.3873673111e-02     0.0000000000e+00     0.0000000000e+00
    8.650000     1.6146384676e-02     0.0000000000e+00     0.0000000000e+00
    8.700000     1.5656470743e-02     0.0000000000e+00     0.0000000000e+00
    8.750000     1.4238203208e-02     0.0000000000e+00    -0.0000000000e+00
    8.800000     1.4136125855e-02    -0.0000000000e+00    -0.0000000000e+00
    8.850000     1.5055174451e-02    -0.0000000000e+00    -0.0000000000e+00
    8.900000     1.4205185224e-02    -0.0000000000e+00    -0.0000000000e+00
    8.950000     1.1813753613e-02    -0.0000000000e+00    -0.0000000000e+00
    9.000000     1.0392751488e-02    -0.0000000000e+00     0.0000000000e+00
    9.050000     1.2213508709e-02    -0.0000000000e+00     0.0000000000e+00
    9.100000     1.5441578056e-02     0.0000000000e+00     0.0000000000e+00
    9.150000     1.8090181715e-02     0.0000000000e+00    -0.0000000000e+00
    9.200000     1.9524506156e-02     0.0000000000e+00    -0.0000000000e+00
    9.250000     1.9721452835e-02     0.0000000000e+00    -0.0000000000e+00
    9.300000     1.9231549973e-02    -0.0000000000e+00     0.0000000000e+00
    9.350000     1.6680411650e-02    -0.0000000000e+00     0.0000000000e+00
    9.400000     1.4024247160e-02    -0.0000000000e+00     0.0000000000e+00
    9.450000     1.2444387175e-02    -0.0000000000e+00     0.0000000000e+00
    9.500000     1.2769764138e-02    -0.0000000000e+00     0.0000000000e+00
    9.550000     1.3385379910e-02    -0.0000000000e+00     0.0000000000e+00
    9.600000     1.2323452207e-02     0.0000000000e+00     0.0000000000e+00
    9.650000     1.0638056582e-02     0.0000000000e+00    -0.0000000000e+00
    9.700000     1.0772628321e-02     0.0000000000e+00    -0.0000000000e+00
    9.750000     1.1421834902e-02     0.0000000000e+00    -0.0000000000e+00
    9.800000     1.0551087471e-02     0.0000000000e+00    -0.0000000000e+00
    9.850000     1.0177990765e-02     0.0000000000e+00    -0.0000000000e+00
    9.900000     1.2701900422e-02    -0.0000000000e+00    -0.0000000000e+00
    9.950000     1.7682789621e-02     0.0000000000e+00     0.0000000000e+00
   10.000000     1.9347256465e-02     0.0000000000e+00     0.0000000000e+00
   10.050000     1.4913576241e-02     0.0000000000e+00     0.0000000000e+00
   10.100000     8.5623336109e-03     0.0000000000e+00     0.0000000000e+00
   10.150000     6.8639980016e-03    -0.0000000000e+00     0.0000000000e+00
   10.200000     8.9122433707e-03    -0.0000000000e+00     0.0000000000e+00
   10.250000     9.0755822512e-03    -0.0000000000e+00     0.0000000000e+00
   10.300000     6.0438047090e-03    -0.0000000000e+00     0.0000000000e+00
   10.350000     4.3921954410e-03    -0.0000000000e+00     0.0000000000e+00
   10.400000     6.9283449247e-03    -0.0000000000e+00     0.0000000000e+00
   10.450000     9.5141810753e-03     0.0000000000e+00     0.0000000000e+00
   10.500000     9.9198340634e-03     0.0000000000e+00    -0.0000000000e+00
   10.550000     1.0083564073e-02     0.0000000000e+00    -0.0000000000e+00
   10.600000     1.2380768326e-02     0.0000000000e+00     0.0000000000e+00
   10.650000     1.4438028124e-02    -0.0000000000e+00     0.0000000000e+00
   10.700000     1.3974789845e-02    -0.0000000000e+00     0.0000000000e+00
   10.750000     1.1547137330e-02    -0.0000000000e+00     0.0000000000e+00
   10.800000     9.7559955770e-03    -0.0000000000e+00     0.0000000000e+00
   10.850000     8.8101060309e-03     0.0000000000e+00     0.0000000000e+00
   10.900000     7.9216619158e-03     0.0000000000e+00    -0.0000000000e+00
   10.950000     9.3594813156e-03     0.0000000000e+00    -0.0000000000e+00
   11.000000     1.3293714945e-02     0.0000000000e+00    -0.0000000000e+00
   11.050000     1.6316870859e-02    -0.0000000000e+00    -0.0000000000e+00
   11.100000     1.4860539107e-02    -0.0000000000e+00    -0.0000000000e+00
   11.150000     1.1528034296e-02    -0.0000000000e+00    -0.0000000000e+00
   11.200000     9.9521279643e-03    -0.0000000000e+00     0.0000000000e+00
   11.250000     1.0626408136e-02    -0.0000000000e+00     0.0000000000e+00
   11.300000     1.1566945596e-02    -0.0000000000e+00     0.0000000000e+00
   11.350000     1.2182283376e-02    -0.0000000000e+00    -0.0000000000e+00
   11.400000     1.3228434965e-02    -0.0000000000e+00    -0.0000000000e+00
   11.450000     1.4198209570e-02    -0.0000000000e+00     0.0000000000e+00
   11.500000     1.4479979552e-02     0.0000000000e+00     0.0000000000e+00
   11.550000     1.4462138287e-02     0.0000000000e+00     0.0000000000e+00
   11.600000     1.4726825845e-02     0.0000000000e+00     0.0000000000e+00
   11.650000     1.5062922501e-02     0.0000000000e+00     0.0000000000e+00
   11.700000     1.5985563680e-02     0.0000000000e+00     0.0000000000e+00
   11.750000     1.4173081882e-02     0.0000000000e+00    -0.0000000000e+00
   11.800000     9.4602162633e-03     0.0000000000e+00    -0.0000000000e+00
   11.850000     5.8232936246e-03     0.0000000000e+00    -0.0000000000e+00
   11.900000     5.5645168376e-03    -0.0000000000e+00    -0.0000000000e+00
   11.950000     7.1229350811e-03    -0.0000000000e+00    -0.0000000000e+00
   12.000000     9.1315746074e-03    -0.0000000000e+00    -0.0000000000e+00
   12.050000     1.2847630975e-02    -0.0000000000e+00    -0.0000000000e+00
   12.100000     1.8310028709e-02    -0.0000000000e+00    -0.0000000000e+00
   12.150000     2.2968662495e-02    -0.0000000000e+00    -0.0000000000e+00
   12.200000     2.4697365789e-02     0.0000000000e+00    -0.0000000000e+00
   12.250000     2.4074559170e-02     0.0000000000e+00     0.0000000000e+00
   12.300000     2.0368778153e-02     0.0000000000e+00     0.0000000000e+00
   12.350000     1.5821855528e-02     0.0000000000e+00     0.0000000000e+00
   12.400000     1.2918933783e-02     0.0000000000e+00     0.0000000000e+00
   12.450000     1.1917233579e-02     0.0000000000e+00     0.0000000000e+00
   12.500000     1.2467823751e-02     0.0000000000e+00     0.0000000000e+00
   12.550000     1.3330788905e-02     0.0000000000e+00     0.0000000000e+00
   12.600000     1.3271489276e-02     0.0000000000e+00     0.0000000000e+00
   12.650000     1.2917704109e-02     0.0000000000e+00     0.0000000000e+00
   12.700000     1.2924309391e-02     0.0000000000e+00     0.0000000000e+00
   12.750000     1.3532092368e-02     0.0000000000e+00     0.0000000000e+00
   12.800000     1.4500707444e-02    -0.0000000000e+00     0.0000000000e+00
   12.850000     1.4024094318e-02    -0.0000000000e+00     0.0000000000e+00
   12.900000     1.2529292688e-02     0.0000000000e+00     0.0000000000e+00
   12.950000     1.0112907151e-02     0.0000000000e+00     0.0000000000e+00
   13.000000     8.6327516022e-03     0.0000000000e+00     0.0000000000e+00
   13.050000     9.2998691889e-03    -0.0000000000e+00     0.0000000000e+00
   13.100000     1.1496290778e-02    -0.0000000000e+00     0.0000000000e+00
   13.150000     1.4793258062e-02    -0.0000000000e+00     0.0000000000e+00
   13.200000     1.8017204222e-02     0.0000000000e+00     0.0000000000e+00
   13.250000     1.7601097356e-02     0.0000000000e+00     0.0000000000e+00
   13.300000     1.2567758843e-02    -0.0000000000e+00     0.0000000000e+00
   13.350000     7.1683583117e-03    -0.0000000000e+00     0.0000000000e+00
   13.400000     4.1737330258e-03    -0.0000000000e+00    -0.0000000000e+00
   13.450000     5.0629261937e-03    -0.0000000000e+00    -0.0000000000e+00
   13.500000     9.1343548265e-03     0.0000000000e+00    -0.0000000000e+00
   13.550000     1.4473762702e-02     0.0000000000e+00    -0.0000000000e+00
   13.600000     1.7433788889e-02     0.0000000000e+00    -0.0000000000e+00
   13.650000     1.8558655008e-02    -0.0000000000e+00    -0.0000000000e+00
   13.700000     1.8540735563e-02    -0.0000000000e+00    -0.0000000000e+00
   13.750000     1.5938328185e-02    -0.0000000000e+00    -0.0000000000e+00
   13.800000     1.3269239617e-02    -0.0000000000e+00     0.0000000000e+00
   13.850000     1.2524008427e-02    -0.0000000000e+00     0.0000000000e+00
   13.900000     1.3034260075e-02     0.0000000000e+00     0.0000000000e+00
   13.950000     1.2629617691e-02     0.0000000000e+00     0.0000000000e+00
   14.000000     1.2050990665e-02     0.0000000000e+00     0.0000000000e+00
