# Photoabsorption spectrum from real-time propagation
# GPAW version: 20.1.0
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 1e-05, 0]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    0.000000     0.0000000000e+00     0.0000000000e+00     0.0000000000e+00
    0.050000    -0.0000000000e+00    -2.0131528346e-04    -0.0000000000e+00
    0.100000    -0.0000000000e+00    -4.4193710131e-04    -0.0000000000e+00
    0.150000    -0.0000000000e+00    -4.4950853825e-04    -0.0000000000e+00
    0.200000    -0.0000000000e+00    -4.3815101864e-04    -0.0000000000e+00
    0.250000    -0.0000000000e+00    -4.2244061351e-04    -0.0000000000e+00
    0.300000    -0.0000000000e+00    -5.1639816045e-04    -0.0000000000e+00
    0.350000    -0.0000000000e+00    -5.0357617764e-04    -0.0000000000e+00
    0.400000    -0.0000000000e+00    -4.8882309053e-04    -0.0000000000e+00
    0.450000    -0.0000000000e+00    -3.7598698940e-04    -0.0000000000e+00
    0.500000    -0.0000000000e+00    -3.9753647697e-04    -0.0000000000e+00
    0.550000    -0.0000000000e+00    -3.8589036440e-04    -0.0000000000e+00
    0.600000    -0.0000000000e+00    -3.7267521666e-04    -0.0000000000e+00
    0.650000    -0.0000000000e+00    -4.2558187332e-04    -0.0000000000e+00
    0.700000    -0.0000000000e+00    -4.1323530252e-04    -0.0000000000e+00
    0.750000    -0.0000000000e+00    -5.1406715427e-04    -0.0000000000e+00
    0.800000    -0.0000000000e+00    -3.7149256200e-04    -0.0000000000e+00
    0.850000    -0.0000000000e+00    -4.5922750152e-04    -0.0000000000e+00
    0.900000    -0.0000000000e+00    -3.4034314269e-04    -0.0000000000e+00
    0.950000    -0.0000000000e+00    -4.7271090827e-04    -0.0000000000e+00
    1.000000    -0.0000000000e+00    -1.9022800819e-04    -0.0000000000e+00
    1.050000    -0.0000000000e+00     1.6149770327e-03    -0.0000000000e+00
    1.100000    -0.0000000000e+00     1.6196149722e-02    -0.0000000000e+00
    1.150000    -0.0000000000e+00     6.9318179898e-02    -0.0000000000e+00
    1.200000    -0.0000000000e+00     1.4672579514e-01    -0.0000000000e+00
    1.250000     0.0000000000e+00     1.5535297406e-01    -0.0000000000e+00
    1.300000     0.0000000000e+00     8.1469473694e-02    -0.0000000000e+00
    1.350000     0.0000000000e+00     1.9148343436e-02    -0.0000000000e+00
    1.400000    -0.0000000000e+00    -2.2530293043e-03    -0.0000000000e+00
    1.450000    -0.0000000000e+00    -2.8272969727e-03    -0.0000000000e+00
    1.500000    -0.0000000000e+00     1.6187770210e-02    -0.0000000000e+00
    1.550000    -0.0000000000e+00     7.3400153243e-02    -0.0000000000e+00
    1.600000    -0.0000000000e+00     1.5651563046e-01    -0.0000000000e+00
    1.650000     0.0000000000e+00     3.2645118948e-01    -0.0000000000e+00
    1.700000     0.0000000000e+00     7.5532515539e-01    -0.0000000000e+00
    1.750000     0.0000000000e+00     1.1882510444e+00    -0.0000000000e+00
    1.800000    -0.0000000000e+00     1.0777794950e+00    -0.0000000000e+00
    1.850000    -0.0000000000e+00     5.6123559294e-01    -0.0000000000e+00
