# Photoabsorption spectrum from real-time propagation
# GPAW version: 20.1.0
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 0, 1e-05]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    0.000000     0.0000000000e+00     0.0000000000e+00     0.0000000000e+00
    0.050000    -0.0000000000e+00    -0.0000000000e+00    -4.5769225450e-03
    0.100000    -0.0000000000e+00    -0.0000000000e+00    -9.9418553191e-03
    0.150000    -0.0000000000e+00    -0.0000000000e+00    -1.0296956562e-02
    0.200000    -0.0000000000e+00    -0.0000000000e+00    -9.3027381293e-03
    0.250000    -0.0000000000e+00    -0.0000000000e+00    -8.8490864731e-03
    0.300000    -0.0000000000e+00    -0.0000000000e+00    -8.6921097566e-03
    0.350000    -0.0000000000e+00    -0.0000000000e+00    -8.6547210950e-03
    0.400000    -0.0000000000e+00    -0.0000000000e+00    -8.6566626311e-03
    0.450000    -0.0000000000e+00    -0.0000000000e+00    -8.7426706868e-03
    0.500000    -0.0000000000e+00    -0.0000000000e+00    -8.8342593396e-03
    0.550000    -0.0000000000e+00    -0.0000000000e+00    -8.8059368181e-03
    0.600000    -0.0000000000e+00    -0.0000000000e+00    -8.7223270239e-03
    0.650000    -0.0000000000e+00    -0.0000000000e+00    -8.6259656009e-03
    0.700000    -0.0000000000e+00    -0.0000000000e+00    -8.7967936288e-03
    0.750000    -0.0000000000e+00    -0.0000000000e+00    -9.0934429078e-03
    0.800000    -0.0000000000e+00    -0.0000000000e+00    -9.5041780471e-03
    0.850000    -0.0000000000e+00    -0.0000000000e+00    -9.7453788411e-03
    0.900000    -0.0000000000e+00    -0.0000000000e+00    -9.9809122222e-03
    0.950000    -0.0000000000e+00    -0.0000000000e+00    -1.0196988693e-02
    1.000000    -0.0000000000e+00    -0.0000000000e+00    -1.0278802859e-02
    1.050000    -0.0000000000e+00    -0.0000000000e+00    -9.9736476421e-03
    1.100000    -0.0000000000e+00    -0.0000000000e+00    -9.5060634512e-03
