frequency [cm^-1], energy [eV]
11.957505629600597j, 0.0014825417383490507j
2.028484797342561j, 0.0002515000595293311j
1.6813633506790024j, 0.00020846248556567005j
0.4333026213551678j, 5.3722677738479804e-05j
0.000284789235496913j, 3.5309364790221156e-08j
(0.00022016683107308008+0j), (2.7297207843906197e-08+0j)
(0.0013922116275297493+0j), (1.7261224124522177e-07+0j)
(19.39383914131421+0j), (0.0024045295803708693+0j)
(29.693500159441882+0j), (0.0036815247851584906+0j)
(33.38129928627025+0j), (0.004138753600057477+0j)
(37.7597011499015+0j), (0.004681606240998732+0j)
(44.26470514282084+0j), (0.00548812394012126+0j)
(54.682584625370055+0j), (0.006779776366337622+0j)
(56.09402165429845+0j), (0.006954772253544878+0j)
(56.59933275513334+0j), (0.007017422844817387+0j)
(60.20758047837784+0j), (0.00746478854279127+0j)
(62.491111890136224+0j), (0.0077479103521076184+0j)
(64.02977168846623+0j), (0.00793867985226968+0j)
(64.30326996155638+0j), (0.007972589316148068+0j)
(67.56125900084355+0j), (0.00837652847231038+0j)
(68.34620775219128+0j), (0.00847384971324354+0j)
(71.44769514941424+0j), (0.0088583851389233+0j)
(71.62847682038037+0j), (0.008880799209302017+0j)
(73.95119263373142+0j), (0.00916877926520029+0j)
(76.13193927167336+0j), (0.009439157386830434+0j)
(77.11611097105708+0j), (0.009561179125078784+0j)
(78.24749000824492+0j), (0.009701452246955638+0j)
(79.164659515138+0j), (0.009815166772144234+0j)
(80.8952527363117+0j), (0.01002973298369112+0j)
(83.94410732917557+0j), (0.010407742773365695+0j)
(84.73642391306743+0j), (0.010505977509103391+0j)
(84.73736134549638+0j), (0.010506093735910708+0j)
(88.8627219746315+0j), (0.011017573262484762+0j)
(91.54493025113185+0j), (0.011350124702896659+0j)
(91.60345456949236+0j), (0.011357380793536759+0j)
(93.85693061238601+0j), (0.01163677621206696+0j)
(94.63739072339844+0j), (0.011733540932530748+0j)
(95.68329277355734+0j), (0.011863216258774956+0j)
(97.46620732095187+0j), (0.012084269487960044+0j)
(97.96290382794852+0j), (0.012145852005729624+0j)
(99.38332302467992+0j), (0.012321961539802816+0j)
(100.24943942006429+0j), (0.012429346285936416+0j)
(100.57954732750022+0j), (0.012470274449894066+0j)
(100.9222554613499+0j), (0.01251276484281064+0j)
(101.79438256629426+0j), (0.012620894821944818+0j)
(101.87529649620093+0j), (0.012630926870602487+0j)
(104.54621300465183+0j), (0.012962078310215586+0j)
(105.00107701956564+0j), (0.01301847426002918+0j)
(105.0711822807805+0j), (0.013027166204574172+0j)
(106.11286857584189+0j), (0.013156318843806193+0j)
(107.47729155994459+0j), (0.013325485732399379+0j)
(108.12231405213271+0j), (0.013405458328395953+0j)
(108.79642791217194+0j), (0.01348903779428671+0j)
(110.3936232995679+0j), (0.013687064782478244+0j)
(111.06289253721823+0j), (0.013770043591750424+0j)
(111.3646699354771+0j), (0.013807459220265925+0j)
(112.55750921244123+0j), (0.013955352440643234+0j)
(114.20498652222328+0j), (0.014159613592625353+0j)
(114.8461480670132+0j), (0.014239107492157572+0j)
(115.26359454214949+0j), (0.014290864258333305+0j)
(115.7393110937622+0j), (0.014349845593173193+0j)
(116.78107840784921+0j), (0.014479008277484082+0j)
(117.44930931836504+0j), (0.014561858350599857+0j)
(117.63557721945895+0j), (0.0145849526268177+0j)
(119.32551361426937+0j), (0.014794478034379248+0j)
(119.70303614365142+0j), (0.014841284862183743+0j)
(120.84098189109064+0j), (0.014982372152360647+0j)
(121.04986354400651+0j), (0.015008270176448258+0j)
(121.8253917496158+0j), (0.015104423418579002+0j)
(122.12010719695678+0j), (0.015140963476777895+0j)
(123.31777311332887+0j), (0.015289455124168322+0j)
(124.00427737596401+0j), (0.015374570804180351+0j)
(124.90850120075011+0j), (0.015486680269363166+0j)
(125.02267656658096+0j), (0.015500836210458144+0j)
(126.21787833622524+0j), (0.015649022342594257+0j)
(126.28151222064369+0j), (0.015656911938681094+0j)
(127.1511618276171+0j), (0.015764734747217794+0j)
(127.7200015995693+0j), (0.015835261889790442+0j)
(128.63791772890315+0j), (0.015949068984363116+0j)
(128.9017869611154+0j), (0.01598178459933656+0j)
(129.94966512189907+0j), (0.016111704932070547+0j)
(131.63211425375314+0j), (0.016320302037343755+0j)
(132.49663438642153+0j), (0.01642748887212568+0j)
(132.73588755094983+0j), (0.01645715248370427+0j)
(133.48537644002866+0j), (0.016550077262074234+0j)
(134.44604725661242+0j), (0.016669185262230525+0j)
(134.72298965715353+0j), (0.01670352174348665+0j)
(135.4317565871675+0j), (0.016791397642445548+0j)
(136.6902503093543+0j), (0.016947430976519292+0j)
(137.26259138688854+0j), (0.01701839222565437+0j)
(137.74324573851308+0j), (0.01707798576966563+0j)
(138.57340670677877+0j), (0.017180912611025875+0j)
(138.9491100504293+0j), (0.017227493888547534+0j)
(139.09462805450363+0j), (0.017245535821489414+0j)
(139.76135824222322+0j), (0.017328199828693786+0j)
(140.99419758779547+0j), (0.01748105242547327+0j)
(141.3115597619514+0j), (0.017520400319919974+0j)
(143.16714935003728+0j), (0.01775046410569593+0j)
(144.2920401839766+0j), (0.017889932792900475+0j)
(144.29270444784206+0j), (0.017890015151122693+0j)
(145.11865609318693+0j), (0.01799242010295902+0j)
(145.69924747990865+0j), (0.01806440426005698+0j)
(145.95649113432606+0j), (0.01809629840808524+0j)
(146.23774127851087+0j), (0.018131168981479616+0j)
(146.84594462203663+0j), (0.01820657658488047+0j)
(147.98699902328536+0j), (0.01834804929900493+0j)
(148.9511401401252+0j), (0.018467587561553193+0j)
(149.6619896902647+0j), (0.018555721672496837+0j)
(149.79845969132643+0j), (0.018572641796047163+0j)
(152.08835411010682+0j), (0.01885655251768216+0j)
(152.93849382596767+0j), (0.018961956408027978+0j)
(153.39016536028916+0j), (0.01901795654069763+0j)
(153.58251853620763+0j), (0.019041805294830533+0j)
(154.47099235171004+0j), (0.019151962007753324+0j)
(155.6834865592842+0j), (0.019302292128927197+0j)
(156.62040615354383+0j), (0.019418455352846444+0j)
(156.84845831231146+0j), (0.01944673021671577+0j)
(157.04048700537678+0j), (0.01947053874010255+0j)
(157.76514973379307+0j), (0.019560385466868335+0j)
(158.04558345000729+0j), (0.01959515481609605+0j)
(158.74970586105823+0j), (0.019682454868099022+0j)
(160.05430418222005+0j), (0.01984420444387297+0j)
(160.92726125837248+0j), (0.019952437326321244+0j)
(161.5206472384245+0j), (0.020026007810804273+0j)
(162.4662403930564+0j), (0.02014324641914485+0j)
(163.36485214637415+0j), (0.020254660076150927+0j)
(163.3749693300665+0j), (0.020255914447050938+0j)
(165.45234328436575+0j), (0.02051347598946693+0j)
(165.8336331247915+0j), (0.02056074990430752+0j)
(166.46566894965414+0j), (0.02063911235877889+0j)
(167.6359377225175+0j), (0.02078420719332043+0j)
(169.92911892702844+0j), (0.021068525424446247+0j)
(171.71240640961904+0j), (0.021289624891702302+0j)
(174.49913921869557+0j), (0.02163513572239389+0j)
(175.09724354226563+0j), (0.021709291206911046+0j)
(175.42180303573997+0j), (0.021749531455216846+0j)
(175.86975606557175+0j), (0.02180507055209183+0j)
(176.88828713614947+0j), (0.02193135230940071+0j)
(177.40019967699095+0j), (0.021994821374914098+0j)
(178.40453547811424+0j), (0.022119343143132845+0j)
(180.64439157443368+0j), (0.02239704990351846+0j)
(181.3410937821696+0j), (0.022483429967568903+0j)
(181.50756990038343+0j), (0.022504070375471315+0j)
(181.98742195946895+0j), (0.022563564447886045+0j)
(182.37383419731594+0j), (0.022611473459059655+0j)
(184.29562776439147+0j), (0.022849745492035094+0j)
(184.60842600895884+0j), (0.022888527531334784+0j)
(185.2798062190936+0j), (0.02297176806783617+0j)
(185.48582764259095+0j), (0.022997311468674956+0j)
(187.53683086198285+0j), (0.02325160345668871+0j)
(188.05108742435047+0j), (0.023315363143829693+0j)
(189.0522342399836+0j), (0.023439489528241937+0j)
(189.5514757644103+0j), (0.02350138758795494+0j)
(190.33562043140833+0j), (0.023598609135135364+0j)
(190.87406709874648+0j), (0.023665368013026055+0j)
(191.0284606995298+0j), (0.023684510379702317+0j)
(191.5789051415008+0j), (0.023752756792051404+0j)
(193.67203276764172+0j), (0.024012271540826732+0j)
(193.71433633242017+0j), (0.024017516514352796+0j)
(194.02506775052248+0j), (0.024056042299832058+0j)
(194.5953382794653+0j), (0.024126746833661856+0j)
