frequency [cm^-1], energy [eV]
2.3170508832386494j, 0.00028727769408498036j
2.317008861975623j, 0.0002872724841124104j
0.0004630258863671662j, 5.7407892894993136e-08j
0.00046298399716761083j, 5.740269929620669e-08j
0.0003881045709062868j, 4.811883372969297e-08j
(1.1711732403181103+0j), (0.00014520697421299044+0j)
(14.072570486755879+0j), (0.001744776357104795+0j)
(18.33488041737314+0j), (0.002273235432907112+0j)
(39.85469523616115+0j), (0.004941352401333853+0j)
(42.638624826720644+0j), (0.005286515677227481+0j)
(42.63863854529795+0j), (0.005286517378114278+0j)
(49.00605785133264+0j), (0.006075976750259377+0j)
(56.19273481155635+0j), (0.006967011125119964+0j)
(56.192826128519926+0j), (0.006967022446980402+0j)
(67.30063640840389+0j), (0.008344215389363377+0j)
(67.30072689898601+0j), (0.008344226608765572+0j)
(71.01265989560021+0j), (0.008804447642140025+0j)
(71.01276106413664+0j), (0.008804460185439816+0j)
(71.57571268581728+0j), (0.008874257290426896+0j)
(73.82471968605302+0j), (0.009153098618290025+0j)
(74.27879463765672+0j), (0.009209396736722423+0j)
(76.73084424932291+0j), (0.009513412139801027+0j)
(81.18274610856872+0j), (0.010065377618707192+0j)
(81.48363900645309+0j), (0.010102683583153664+0j)
(85.05475428105727+0j), (0.010545445444285513+0j)
(85.05483091361474+0j), (0.010545454945511646+0j)
(88.79007017533789+0j), (0.01100856558745994+0j)
(88.7900943999269+0j), (0.011008568590926165+0j)
(92.91983615530349+0j), (0.011520591307920961+0j)
(94.09901150611581+0j), (0.011666790417381055+0j)
(95.56308793773114+0j), (0.011848312758681877+0j)
(100.5273213636111+0j), (0.01246379925567802+0j)
(100.52733585096082+0j), (0.012463801051880448+0j)
(100.66958125887668+0j), (0.01248143723461422+0j)
(100.6696478866816+0j), (0.012481445495409138+0j)
(101.49816287986671+0j), (0.012584168261870083+0j)
(103.3804052460419+0j), (0.012817536570945828+0j)
(103.38051172375359+0j), (0.012817549772499453+0j)
(105.0043461535029+0j), (0.013018879580976573+0j)
(106.28641679360925+0j), (0.013177836080295657+0j)
(107.11022926955742+0j), (0.013279975808931239+0j)
(110.04470329911956+0j), (0.013643804216267102+0j)
(110.04472524948345+0j), (0.013643806937765351+0j)
(110.18300596225805+0j), (0.013660951560954112+0j)
(110.86180409471103+0j), (0.013745111802600476+0j)
(112.02702624152518+0j), (0.013889580935261745+0j)
(112.42281623867194+0j), (0.013938652640395514+0j)
(113.04676378528464+0j), (0.014016012276179747+0j)
(115.54202647561249+0j), (0.014325385418133245+0j)
(115.5420769119803+0j), (0.014325391671445828+0j)
(116.3260517086578+0j), (0.014422592157390899+0j)
(116.3260962089893+0j), (0.014422597674728784+0j)
(119.07277425446416+0j), (0.014763142347703317+0j)
(119.28569564043838+0j), (0.01478954123485186+0j)
(120.24106396259943+0j), (0.01490799180949295+0j)
(120.28242591109505+0j), (0.01491312003747993+0j)
(122.04043463219396+0j), (0.015131085337781265+0j)
(122.1679766011203+0j), (0.015146898526432953+0j)
(122.16798860886355+0j), (0.015146900015203364+0j)
(122.52918468174677+0j), (0.015191682620402524+0j)
(122.52922437206577+0j), (0.01519168754137487+0j)
(123.08167656912183+0j), (0.015260182883626745+0j)
(126.50580787109323+0j), (0.015684721054881584+0j)
(130.14809635468174+0j), (0.016136307269205483+0j)
(130.19168132290466+0j), (0.01614171111650915+0j)
(130.19172911360073+0j), (0.016141717041800247+0j)
(130.24738003438716+0j), (0.016148616876548325+0j)
(131.9500137513071+0j), (0.016359716551400703+0j)
(136.33593094878185+0j), (0.01690350097497671+0j)
(138.53624356477872+0j), (0.01717630496869227+0j)
(139.4668058664854+0j), (0.017291679988796726+0j)
(140.55197266311242+0j), (0.01742622352311776+0j)
(140.55210013692633+0j), (0.017426239327856263+0j)
(140.74199335178574+0j), (0.01744978308569163+0j)
(142.98065767540177+0j), (0.017727342085095136+0j)
(142.98067041406298+0j), (0.017727343664487822+0j)
(143.22342323055958+0j), (0.01775744117760687+0j)
(143.22343264022177+0j), (0.017757442344256285+0j)
(144.4087204051232+0j), (0.01790439929647137+0j)
(144.4087649740805+0j), (0.017904404822317768+0j)
(145.16465494466638+0j), (0.017998123233640854+0j)
(145.21802737763645+0j), (0.01800474057190574+0j)
(146.26404487101442+0j), (0.01813443021128481+0j)
(146.2640782196277+0j), (0.018134434345985863+0j)
(147.57215823147436+0j), (0.018296615596384954+0j)
(147.57224112149868+0j), (0.01829662587343809+0j)
(148.00717995849428+0j), (0.018350551416059516+0j)
(148.0449874958956+0j), (0.018355238953239757+0j)
(149.20613317496034+0j), (0.018499202668318903+0j)
(150.48877205533284+0j), (0.018658229620451314+0j)
(151.54073631388079+0j), (0.018788656564737088+0j)
(155.11896874329875+0j), (0.01923230084059627+0j)
(155.5528503506285+0j), (0.01928609530344611+0j)
(155.5528759838564+0j), (0.0192860984815613+0j)
(156.0564868427061+0j), (0.019348538269695896+0j)
(156.0565005570221+0j), (0.019348539970054358+0j)
(158.52441986354827+0j), (0.019654522964513102+0j)
(158.5244552069974+0j), (0.019654527346542276+0j)
(158.8522453611397+0j), (0.01969516814571805+0j)
(160.37025544517476+0j), (0.019883377407626794+0j)
(160.82718050097782+0j), (0.019940028893940843+0j)
(162.92610723983563+0j), (0.020200262641051986+0j)
(165.94050589145164+0j), (0.02057400043850541+0j)
(166.92037049425934+0j), (0.020695488164841673+0j)
(166.9738406929583+0j), (0.02070211762451199+0j)
(167.0278663027571+0j), (0.020708815946381746+0j)
(171.76511806099137+0j), (0.02129616030349114+0j)
(171.76512302085231+0j), (0.02129616091843552+0j)
(173.1580942481515+0j), (0.021468867338048498+0j)
(173.15815258270254+0j), (0.021468874570610988+0j)
(176.66031162788644+0j), (0.021903086948982683+0j)
(180.26280117594447+0j), (0.022349738724227602+0j)
(180.90448387475953+0j), (0.022429297238623348+0j)
(182.14947897376385+0j), (0.022583656956735858+0j)
(184.10522364415647+0j), (0.022826138390006787+0j)
(184.1052236657478+0j), (0.02282613839268377+0j)
(184.1093390551573+0j), (0.022826648635936683+0j)
