      Step     Time          Energy         fmax
BFGS:    0 13:33:08       13.593137       42.6640
BFGS:    1 13:33:08       -1.071940       11.3082
BFGS:    2 13:33:08       -2.541642        6.1417
BFGS:    3 13:33:08       -3.820697        2.1611
BFGS:    4 13:33:08       -4.110420        0.9942
BFGS:    5 13:33:08       -4.225845        0.3317
BFGS:    6 13:33:09       -4.246996        0.3452
BFGS:    7 13:33:09       -4.254406        0.3674
BFGS:    8 13:33:09       -4.264652        0.3768
BFGS:    9 13:33:09       -4.283911        0.3260
BFGS:   10 13:33:09       -4.302119        0.3545
BFGS:   11 13:33:09       -4.314977        0.3371
BFGS:   12 13:33:09       -4.326158        0.2447
BFGS:   13 13:33:09       -4.328525        0.2131
BFGS:   14 13:33:10       -4.331804        0.1223
BFGS:   15 13:33:10       -4.333816        0.1318
BFGS:   16 13:33:10       -4.335098        0.2032
BFGS:   17 13:33:10       -4.337583        0.2805
BFGS:   18 13:33:10       -4.342821        0.3447
BFGS:   19 13:33:10       -4.352595        0.3588
BFGS:   20 13:33:10       -4.371261        0.5379
BFGS:   21 13:33:10       -4.407039        0.7776
BFGS:   22 13:33:10       -4.492362        0.9768
BFGS:   23 13:33:11       -4.393340        1.8585
BFGS:   24 13:33:11       -4.542924        0.8731
BFGS:   25 13:33:11       -4.576858        0.7928
BFGS:   26 13:33:11       -4.678460        0.7686
BFGS:   27 13:33:11       -4.702194        0.4419
BFGS:   28 13:33:11       -4.722829        0.4229
BFGS:   29 13:33:11       -4.744956        0.4609
BFGS:   30 13:33:11       -4.750347        0.3910
BFGS:   31 13:33:11       -4.769831        0.1944
BFGS:   32 13:33:12       -4.773003        0.1214
BFGS:   33 13:33:12       -4.774025        0.1303
BFGS:   34 13:33:12       -4.775804        0.1476
BFGS:   35 13:33:12       -4.777927        0.1210
BFGS:   36 13:33:12       -4.779414        0.0762
BFGS:   37 13:33:12       -4.780041        0.0704
BFGS:   38 13:33:12       -4.780370        0.0810
BFGS:   39 13:33:12       -4.781094        0.1043
BFGS:   40 13:33:13       -4.783011        0.1555
BFGS:   41 13:33:13       -4.788770        0.2762
BFGS:   42 13:33:13       -4.808540        0.6176
BFGS:   43 13:33:13       -4.826537        0.8545
BFGS:   44 13:33:13       -4.850197        1.0902
BFGS:   45 13:33:13       -4.871231        1.1549
BFGS:   46 13:33:13       -4.975077        1.1288
BFGS:   47 13:33:13       -5.119250        1.4915
BFGS:   48 13:33:13       -5.172982        0.8520
BFGS:   49 13:33:14       -5.209351        0.8077
BFGS:   50 13:33:14       -5.275680        0.5810
BFGS:   51 13:33:14       -5.307558        0.4202
BFGS:   52 13:33:14       -5.325458        0.2891
BFGS:   53 13:33:14       -5.332964        0.2381
BFGS:   54 13:33:14       -5.339705        0.2402
BFGS:   55 13:33:14       -5.350914        0.2752
BFGS:   56 13:33:14       -5.395137        0.5443
BFGS:   57 13:33:14       -5.435119        0.7544
BFGS:   58 13:33:15       -5.472351        0.7046
BFGS:   59 13:33:15       -5.509869        1.6289
BFGS:   60 13:33:15       -5.508163        1.2612
BFGS:   61 13:33:15       -5.504600        0.6591
BFGS:   62 13:33:15       -5.610649        0.3815
BFGS:   63 13:33:15       -5.623029        0.6114
BFGS:   64 13:33:15       -5.638336        0.2953
BFGS:   65 13:33:15       -5.644331        0.2116
BFGS:   66 13:33:16       -5.650629        0.0917
BFGS:   67 13:33:16       -5.651199        0.0645
BFGS:   68 13:33:16       -5.651794        0.0507
BFGS:   69 13:33:16       -5.652026        0.0387
      Step     Time          Energy         fmax
BFGS:    0 13:33:16       12.227679       36.0690
BFGS:    1 13:33:16       -1.279020        9.6239
BFGS:    2 13:33:16       -2.748372        4.7815
BFGS:    3 13:33:16       -3.710196        2.0652
BFGS:    4 13:33:16       -4.064005        1.1486
BFGS:    5 13:33:16       -4.212694        0.9227
BFGS:    6 13:33:16       -4.278008        0.8505
BFGS:    7 13:33:17       -4.332622        0.8156
BFGS:    8 13:33:17       -4.399172        0.8985
BFGS:    9 13:33:17       -4.487428        1.1841
BFGS:   10 13:33:17       -4.606792        1.1411
BFGS:   11 13:33:17       -4.677872        0.6408
BFGS:   12 13:33:17       -4.696143        0.4875
BFGS:   13 13:33:17       -4.741777        0.5616
BFGS:   14 13:33:17       -4.751857        0.3744
BFGS:   15 13:33:18       -4.762026        0.3609
BFGS:   16 13:33:18       -4.808429        0.5162
BFGS:   17 13:33:18       -4.823907        0.4485
BFGS:   18 13:33:18       -4.870162        0.6353
BFGS:   19 13:33:18       -4.917914        0.8193
BFGS:   20 13:33:18       -5.001220        1.2103
BFGS:   21 13:33:18       -5.067334        1.2908
BFGS:   22 13:33:18       -5.176864        0.8147
BFGS:   23 13:33:18       -5.251316        0.5408
BFGS:   24 13:33:19       -5.271146        0.5577
