       Step     Time          Energy         fmax
GPMin:    0 16:25:32       -3.867905        0.3394
GPMin:    1 16:25:46       -4.088248        0.3192
GPMin:    2 16:25:57       -4.226992        0.2909
GPMin:    3 16:26:07       -4.330010        0.2573
GPMin:    4 16:26:16       -4.396138        0.2179
GPMin:    5 16:26:26       -4.488266        0.1660
GPMin:    6 16:26:35       -4.521458        0.1474
GPMin:    7 16:26:45       -4.570214        0.1481
GPMin:    8 16:26:54       -4.608348        0.1506
GPMin:    9 16:27:02       -4.638723        0.1422
GPMin:   10 16:27:11       -4.671674        0.1347
GPMin:   11 16:27:20       -4.708422        0.1335
GPMin:   12 16:27:30       -4.740475        0.1241
GPMin:   13 16:27:39       -4.772762        0.1065
GPMin:   14 16:27:48       -4.803106        0.0921
GPMin:   15 16:27:57       -4.831298        0.0805
GPMin:   16 16:28:06       -4.858636        0.0708
GPMin:   17 16:28:13       -4.880673        0.0604
GPMin:   18 16:28:21       -4.898058        0.0605
GPMin:   19 16:28:29       -4.910964        0.0543
GPMin:   20 16:28:37       -4.919970        0.0423
GPMin:   21 16:28:44       -4.927062        0.0342
GPMin:   22 16:28:52       -4.930602        0.0299
GPMin:   23 16:28:59       -4.932374        0.0199
       Step     Time          Energy         fmax
GPMin:    0 16:29:13       -4.111703        0.4476
GPMin:    1 16:29:24       -4.270651        0.2683
GPMin:    2 16:29:34       -4.388752        0.2760
GPMin:    3 16:29:43       -4.479472        0.2987
GPMin:    4 16:29:53       -4.577070        0.3008
GPMin:    5 16:30:03       -4.663104        0.2692
GPMin:    6 16:30:13       -4.735914        0.1473
GPMin:    7 16:30:22       -4.756013        0.1112
GPMin:    8 16:30:30       -4.778320        0.0948
GPMin:    9 16:30:39       -4.794497        0.0742
GPMin:   10 16:30:47       -4.816750        0.0780
GPMin:   11 16:30:56       -4.840700        0.0722
GPMin:   12 16:31:05       -4.861359        0.0906
GPMin:   13 16:31:12       -4.882969        0.0807
GPMin:   14 16:31:21       -4.900505        0.0731
