       Step     Time          Energy         fmax
GPMin:    0 14:22:44       -3.499692        0.8406
GPMin:    1 14:22:58       -3.866897        0.3349
GPMin:    2 14:23:08       -4.008522        0.2381
GPMin:    3 14:23:19       -4.080777        0.1858
GPMin:    4 14:23:29       -4.107591        0.1747
GPMin:    5 14:23:38       -4.135211        0.1581
GPMin:    6 14:23:48       -4.156278        0.1290
GPMin:    7 14:23:56       -4.171070        0.1142
GPMin:    8 14:24:08       -4.259926        0.2402
GPMin:    9 14:24:20       -4.277592        0.2934
GPMin:   10 14:24:41       -4.301884        0.2785
GPMin:   11 14:24:52       -4.373013        0.1274
GPMin:   12 14:25:03       -4.394326        0.2621
GPMin:   13 14:25:12       -4.424041        0.2437
GPMin:   14 14:25:22       -4.471754        0.1284
GPMin:   15 14:25:33       -4.511885        0.1456
GPMin:   16 14:25:42       -4.554777        0.1675
GPMin:   17 14:25:53       -4.602642        0.1799
GPMin:   18 14:26:04       -4.648292        0.1781
GPMin:   19 14:26:13       -4.689189        0.1697
GPMin:   20 14:26:23       -4.728746        0.1433
GPMin:   21 14:26:33       -4.758124        0.1023
GPMin:   22 14:26:41       -4.774785        0.0575
GPMin:   23 14:26:50       -4.782239        0.0487
GPMin:   24 14:26:58       -4.787579        0.0378
GPMin:   25 14:27:07       -4.790038        0.0348
GPMin:   26 14:27:15       -4.791414        0.0188
       Step     Time          Energy         fmax
GPMin:    0 14:27:32       -2.902603        1.2763
GPMin:    1 14:27:41       -3.782238        0.5782
GPMin:    2 14:27:50       -4.081735        0.2211
GPMin:    3 14:27:59       -4.153101        0.0321
GPMin:    4 14:28:08       -4.154965        0.0027
       Step     Time          Energy         fmax
GPMin:    0 14:28:24       -3.166544        1.3505
GPMin:    1 14:28:36       -4.009778        0.6030
GPMin:    2 14:28:47       -4.288684        0.2597
GPMin:    3 14:28:56       -4.355523        0.0975
GPMin:    4 14:29:05       -4.365214        0.1267
GPMin:    5 14:29:14       -4.377899        0.1103
GPMin:    6 14:29:23       -4.393832        0.1220
GPMin:    7 14:29:33       -4.422656        0.0756
GPMin:    8 14:29:42       -4.426339        0.0690
GPMin:    9 14:30:07       -4.442532        0.0435
GPMin:   10 14:31:08       -4.444568        0.1703
GPMin:   11 14:32:20       -4.454736        0.0737
       Step     Time          Energy         fmax
GPMin:    0 14:33:31       -3.166542        1.3506
GPMin:    1 14:33:43       -4.009782        0.6029
GPMin:    2 14:33:54       -4.288696        0.2597
GPMin:    3 14:34:04       -4.355529        0.0976
GPMin:    4 14:34:12       -4.365216        0.1267
GPMin:    5 14:34:21       -4.377912        0.1103
GPMin:    6 14:34:31       -4.393835        0.1221
GPMin:    7 14:34:40       -4.422771        0.0755
GPMin:    8 14:34:49       -4.426412        0.0690
GPMin:    9 14:35:14       -4.442346        0.0437
GPMin:   10 14:36:00       -4.444281        0.1723
GPMin:   11 14:37:13       -4.454431        0.0787
GPMin:   12 14:38:01       -4.455001        0.0671
GPMin:   13 14:38:47       -4.460061        0.0407
GPMin:   14 14:40:06       -4.463312        0.0329
GPMin:   15 14:40:43       -4.464931        0.0800
GPMin:   16 14:40:53       -4.465488        0.0864
GPMin:   17 14:41:03       -4.465834        0.0689
GPMin:   18 14:41:39       -4.472437        0.0798
GPMin:   19 14:41:51       -4.504312        0.1923
GPMin:   20 14:42:00       -4.536066        0.2062
GPMin:   21 14:42:10       -4.560124        0.1995
GPMin:   22 14:42:20       -4.604776        0.2039
GPMin:   23 14:42:30       -4.632740        0.2046
GPMin:   24 14:42:40       -4.699169        0.1916
GPMin:   25 14:42:50       -4.734993        0.1689
GPMin:   26 14:43:01       -4.759978        0.1474
GPMin:   27 14:43:11       -4.782704        0.1248
GPMin:   28 14:43:20       -4.801425        0.1055
GPMin:   29 14:43:29       -4.817046        0.0956
GPMin:   30 14:43:38       -4.840307        0.0809
GPMin:   31 14:43:47       -4.858033        0.0821
GPMin:   32 14:43:55       -4.865525        0.0797
GPMin:   33 14:44:04       -4.879334        0.0415
GPMin:   34 14:44:12       -4.884011        0.0365
GPMin:   35 14:44:20       -4.886268        0.0462
GPMin:   36 14:44:27       -4.887949        0.0286
GPMin:   37 14:44:35       -4.888698        0.0237
GPMin:   38 14:44:41       -4.888897        0.0189
       Step     Time          Energy         fmax
GPMin:    0 14:44:55       -2.904368        1.2743
GPMin:    1 14:45:03       -3.783108        0.5764
GPMin:    2 14:45:10       -4.081904        0.2203
GPMin:    3 14:45:18       -4.153265        0.0311
GPMin:    4 14:45:24       -4.155077        0.0029
       Step     Time          Energy         fmax
GPMin:    0 14:45:37       -3.171278        1.3413
GPMin:    1 14:45:47       -4.010136        0.5966
GPMin:    2 14:45:58       -4.286658        0.2568
GPMin:    3 14:46:07       -4.352037        0.0964
GPMin:    4 14:46:15       -4.361071        0.1238
GPMin:    5 14:46:23       -4.375037        0.1035
GPMin:    6 14:46:57       -4.394761        0.1130
GPMin:    7 14:47:06       -4.416244        0.0848
GPMin:    8 14:47:14       -4.421037        0.0719
GPMin:    9 14:47:34       -4.444501        0.0971
GPMin:   10 14:47:42       -4.450146        0.0688
GPMin:   11 14:47:50       -4.452703        0.0492
GPMin:   12 14:47:59       -4.457536        0.0604
GPMin:   13 14:48:11       -4.492093        0.3563
GPMin:   14 14:48:21       -4.540269        0.3844
GPMin:   15 14:48:32       -4.597954        0.3748
GPMin:   16 14:48:42       -4.670583        0.2937
GPMin:   17 14:48:52       -4.727343        0.1751
GPMin:   18 14:49:03       -4.759387        0.1308
GPMin:   19 14:49:13       -4.783932        0.1458
GPMin:   20 14:49:22       -4.805588        0.1254
GPMin:   21 14:49:30       -4.825907        0.1017
GPMin:   22 14:49:39       -4.842429        0.0954
GPMin:   23 14:49:49       -4.854509        0.0760
GPMin:   24 14:49:57       -4.865212        0.0576
GPMin:   25 14:50:04       -4.874150        0.0510
GPMin:   26 14:50:12       -4.879602        0.0427
GPMin:   27 14:50:20       -4.883481        0.0343
GPMin:   28 14:50:27       -4.886774        0.0387
GPMin:   29 14:50:36       -4.888642        0.0235
GPMin:   30 14:50:43       -4.889121        0.0154
       Step     Time          Energy         fmax
GPMin:    0 14:50:58       -3.165293        1.3525
GPMin:    1 14:51:08       -4.009100        0.6031
